topology,topology_family,n_logical,attempts,fully_routed_attempts,fully_routed_rate,drc_violation_attempts,worst_il_db,worst_il_permutation,routed_worst_il_mean_db,routed_worst_il_std_db,runtime_s_avg_all_attempts,runtime_s_avg_routed
padded_benes_16x16,padded_benes,9,10,0,0.000000,0,,,,,68.445802,
padded_benes_16x16,padded_benes,10,10,0,0.000000,0,,,,,78.607721,
padded_benes_16x16,padded_benes,11,10,0,0.000000,0,,,,,81.833880,
padded_benes_16x16,padded_benes,12,10,0,0.000000,0,,,,,111.604371,
padded_benes_16x16,padded_benes,13,10,0,0.000000,0,,,,,131.840775,
padded_benes_16x16,padded_benes,14,10,0,0.000000,0,,,,,146.111953,
padded_benes_16x16,padded_benes,15,10,0,0.000000,0,,,,,152.739227,
padded_benes_16x16,padded_benes,16,10,0,0.000000,0,,,,,163.530208,
padded_benes_4x4,padded_benes,3,6,5,0.833333,0,2.609394,0-1-2,2.439601,0.132216,0.775805,0.387774
padded_benes_4x4,padded_benes,4,24,20,0.833333,0,4.139058,2-1-0-3,3.229669,0.478064,1.257063,1.116394
padded_benes_8x8,padded_benes,5,120,84,0.700000,0,6.875651,0-1-3-2-4,5.347648,0.543223,6.847658,5.231108
padded_benes_8x8,padded_benes,6,10,4,0.400000,0,6.942235,1-0-3-2-5-4,5.664559,0.770349,13.972987,7.787610
padded_benes_8x8,padded_benes,7,10,2,0.200000,0,5.903485,5-6-4-3-1-2-0,5.638423,0.265062,17.501691,10.901149
padded_benes_8x8,padded_benes,8,10,1,0.100000,0,7.060612,0-5-7-2-3-4-6-1,7.060612,0.000000,20.763235,14.033695
spanke_benes_10x10,spanke_benes,10,10,10,1.000000,0,11.554558,1-3-5-4-8-6-7-9-0-2,10.346743,0.719512,23.602267,23.602267
spanke_benes_11x11,spanke_benes,11,10,10,1.000000,0,14.036769,2-4-5-3-7-10-8-6-9-1-0,11.868602,1.038602,39.038541,39.038541
spanke_benes_12x12,spanke_benes,12,10,10,1.000000,0,15.113968,1-2-10-7-3-11-4-5-6-8-0-9,13.248912,0.874820,54.894364,54.894364
spanke_benes_13x13,spanke_benes,13,10,10,1.000000,0,17.240148,1-2-12-9-0-3-6-5-10-4-7-8-11,15.449397,1.289709,79.772449,79.772449
spanke_benes_14x14,spanke_benes,14,10,9,0.900000,0,17.529904,3-2-8-7-13-1-0-11-10-5-6-12-9-4,15.797197,1.015658,101.968292,99.863796
spanke_benes_15x15,spanke_benes,15,10,8,0.800000,0,18.160777,1-11-4-3-13-7-12-0-2-10-6-8-14-5-9,16.965131,1.035868,134.900913,125.645228
spanke_benes_16x16,spanke_benes,16,10,8,0.800000,0,19.956591,14-2-3-13-5-10-11-0-7-6-8-1-15-12-9-4,18.755708,0.720403,164.649413,154.561278
spanke_benes_3x3,spanke_benes,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.118533,0.118533
spanke_benes_4x4,spanke_benes,4,24,24,1.000000,0,4.019575,0-1-2-3,3.196901,0.439260,0.679133,0.679133
spanke_benes_5x5,spanke_benes,5,120,120,1.000000,0,5.477755,0-1-2-4-3,4.367692,0.527603,1.703463,1.703463
spanke_benes_6x6,spanke_benes,6,10,10,1.000000,0,6.615268,1-0-3-2-5-4,5.590832,0.591956,3.586496,3.586496
spanke_benes_7x7,spanke_benes,7,10,10,1.000000,0,8.418116,0-1-3-4-2-5-6,6.983014,1.013713,6.829495,6.829495
spanke_benes_8x8,spanke_benes,8,10,10,1.000000,0,9.562663,1-2-3-5-4-7-0-6,8.152029,0.924211,11.924395,11.924395
spanke_benes_9x9,spanke_benes,9,10,10,1.000000,0,10.531210,5-1-2-3-6-0-4-8-7,9.474022,0.706629,18.775699,18.775699
spanke_benes_rect_10x10,spanke_benes_rect,10,10,10,1.000000,0,7.623141,2-9-1-6-0-3-8-5-7-4,7.433262,0.110077,18.320274,18.320274
spanke_benes_rect_11x11,spanke_benes_rect,11,10,10,1.000000,0,8.628988,1-7-6-10-5-0-3-2-4-8-9,8.176090,0.271937,27.821684,27.821684
spanke_benes_rect_12x12,spanke_benes_rect,12,10,10,1.000000,0,9.238160,11-9-0-3-2-5-6-7-4-1-10-8,9.004587,0.229104,39.609795,39.609795
spanke_benes_rect_13x13,spanke_benes_rect,13,10,10,1.000000,0,9.904707,1-3-5-4-8-6-7-11-10-2-12-9-0,9.668038,0.192975,59.963831,59.963831
spanke_benes_rect_14x14,spanke_benes_rect,14,10,10,1.000000,0,10.556760,3-9-4-2-0-6-1-7-8-13-5-11-10-12,10.329223,0.194871,76.032858,76.032858
spanke_benes_rect_15x15,spanke_benes_rect,15,10,10,1.000000,0,11.646847,7-4-3-10-9-1-11-8-2-0-13-6-5-12-14,11.111611,0.281186,99.500486,99.500486
spanke_benes_rect_16x16,spanke_benes_rect,16,10,10,1.000000,0,12.153105,1-10-3-5-11-7-0-13-14-4-8-9-6-12-2-15,11.745795,0.206401,129.370092,129.370092
spanke_benes_rect_3x3,spanke_benes_rect,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.118460,0.118460
spanke_benes_rect_4x4,spanke_benes_rect,4,24,24,1.000000,0,3.507941,1-0-3-2,3.057622,0.367400,0.599860,0.599860
spanke_benes_rect_5x5,spanke_benes_rect,5,120,120,1.000000,0,4.378736,1-3-0-4-2,3.832335,0.342240,1.209695,1.209695
spanke_benes_rect_6x6,spanke_benes_rect,6,10,10,1.000000,0,5.014122,2-3-1-4-5-0,4.515625,0.355057,2.338669,2.338669
spanke_benes_rect_7x7,spanke_benes_rect,7,10,10,1.000000,0,5.803171,0-1-3-4-2-5-6,5.254193,0.347446,4.407894,4.407894
spanke_benes_rect_8x8,spanke_benes_rect,8,10,10,1.000000,0,6.476302,1-3-5-4-0-6-7-2,5.972026,0.289816,8.489785,8.489785
spanke_benes_rect_9x9,spanke_benes_rect,9,10,10,1.000000,0,6.956306,3-1-4-5-7-0-6-8-2,6.689777,0.156439,13.760799,13.760799
waksman_10x10,waksman,10,10,0,0.000000,0,,,,,61.954551,
waksman_11x11,waksman,11,10,0,0.000000,0,,,,,89.506661,
waksman_12x12,waksman,12,10,0,0.000000,0,,,,,99.520340,
waksman_13x13,waksman,13,10,0,0.000000,0,,,,,114.925724,
waksman_14x14,waksman,14,10,0,0.000000,0,,,,,133.617428,
waksman_15x15,waksman,15,10,0,0.000000,0,,,,,138.228887,
waksman_16x16,waksman,16,10,0,0.000000,0,,,,,168.013008,
waksman_3x3,waksman,3,6,6,1.000000,0,2.317177,1-0-2,2.064067,0.189006,0.147775,0.147775
waksman_4x4,waksman,4,24,23,0.958333,0,3.623807,1-0-2-3,2.770021,0.297103,1.040793,0.994687
waksman_5x5,waksman,5,120,49,0.408333,0,4.703316,0-4-2-3-1,3.956356,0.259019,5.119096,3.606876
waksman_6x6,waksman,6,10,2,0.200000,0,5.410938,4-2-3-5-0-1,5.252250,0.158688,18.754926,5.818003
waksman_7x7,waksman,7,10,1,0.100000,0,4.473563,0-2-5-6-3-4-1,4.473563,0.000000,20.175502,6.100458
waksman_8x8,waksman,8,10,1,0.100000,0,5.933320,0-5-7-2-3-4-6-1,5.933320,0.000000,23.542077,12.371862
