topology,N,config,status,n_physical,mrr,stages,mrr_waksman_theory,mrr_benes_padded,mrr_savings_pct,routed_edges,failed_edges,legacy_drc,same_net_min_spacing,perpendicular_clearance,bend_radius_legality,total_crossings,worst_path_crossings,worst_path_length_um,worst_il_db,method_agreement,method_gap_db,exhaustive_eval_wall_s,path_eval_wall_s,route_wall_s,witness_permutation,worst_io_pair,permutations_checked,coverage_failures,geometry_sha256,envelope_id,layout_mode,corridor_guide_mode,max_astar_pops_rung,astar_calls
padded_benes,5,C_db_realistic,complete,8,20,5,8,20,60.0,48,0,0,0,0,0,60,18,2011.495559215388,2.486463379234033,True,0.0,0.024433042970485985,1.0310573839815333,0.05801678902935237,4-2-3-1-0,2->3,120,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,5,C_db_realistic,complete,5,8,5,8,20,60.0,21,0,0,34,5,0,22,12,1918.3274122871835,1.8498972201102015,True,0.0,0.020201210980303586,2.162815978983417,19.09310906205792,1-4-3-2-0,0->1,120,0,c5b3e3a41d6d1e7d2a3f01ebc3e9e563f3abb9624474a6fe1ba97f7d10048947,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,8
padded_benes,6,B_db_placeholder,complete,8,20,5,11,20,45.0,48,0,0,0,0,0,60,13,2106.3274122871835,4.396152035010801,True,0.0,0.042318884981796145,3.054969481076114,0.05848005204461515,1-0-3-5-4-2,3->5,720,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,6,B_db_placeholder,complete,6,11,5,11,20,45.0,28,0,0,0,1,0,30,13,1944.0796326794898,4.02335726788084,True,0.0,0.03943783207796514,3.949142933008261,23.34832541900687,1-3-5-4-2-0,1->3,720,0,e6911b211de8900529a95b16f9d374168f077a02a3cefad5823211f5c51e71e0,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,10
padded_benes,6,C_db_realistic,complete,8,20,5,11,20,45.0,48,0,0,0,0,0,60,18,2011.495559215388,2.4864633792340336,True,0.0,0.04323643201496452,3.0735272490419447,0.05794030800461769,4-1-3-2-5-0,4->5,720,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,6,C_db_realistic,complete,6,11,5,11,20,45.0,28,0,0,52,9,0,32,15,2069.4513020910304,2.2777541490310247,True,0.0,0.03848500398453325,3.922527882969007,30.91536671400536,1-4-5-0-2-3,0->1,720,0,20124a75cc2a2f72764c89718820624119cf8b428cac3f60dcadc8d083a69f45,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,12
padded_benes,7,B_db_placeholder,complete,8,20,5,14,20,30.0,48,0,0,0,0,0,60,13,2106.3274122871835,4.396152035010801,True,0.0,0.4894059509970248,0.977018358069472,0.058252020040526986,2-0-4-5-3-1-6,3->5,5040,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,7,B_db_placeholder,complete,7,14,5,14,20,30.0,35,0,0,3,4,0,48,21,2334.7654673852594,4.853028145206953,True,0.0,0.29559296800289303,2.768080203095451,38.73132151004393,2-4-1-3-6-5-0,3->3,5040,0,2e67b5efc3de38199e84410ae6a31c0b19a89bd527692e9532402a3c5f67d479,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,16
padded_benes,7,C_db_realistic,complete,8,20,5,14,20,30.0,48,0,0,0,0,0,60,18,2011.495559215388,2.4864633792340336,True,0.0,0.17804753792006522,0.9739090820075944,0.058075639070011675,2-0-3-4-5-6-1,4->5,5040,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,7,C_db_realistic,complete,7,14,5,14,20,30.0,35,0,0,68,19,0,70,30,2278.181393921158,3.7654676031297076,True,0.0,0.15613405499607325,2.74880962993484,57.04357823904138,5-0-2-4-6-3-1,2->2,5040,0,e25d7da6d8e6dfb185c430712edc9728d11bb8c2e83e4eb4d9a54b6d42f2edb9,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,17
padded_benes,8,B_db_placeholder,complete,8,20,5,17,20,15.0,48,0,0,0,0,0,60,15,2170.327412287183,4.5241520350108,True,0.0,1.2780319079756737,0.08261768298689276,0.05797887907829136,4-3-5-2-6-0-1-7,7->7,40320,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,8,B_db_placeholder,complete,8,17,5,17,20,15.0,42,0,0,7,0,0,68,21,2381.641577581413,4.927447422553782,True,0.0,2.1554799779551104,0.09283636405598372,58.158146734000184,2-3-6-5-4-7-0-1,1->3,40320,0,3cbe18f2ffa7a83e2796ebc5a7140dfea3a5556635ad4e93fde0fc01dc249f7d,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,20
padded_benes,8,C_db_realistic,complete,8,20,5,17,20,15.0,48,0,0,0,0,0,60,18,2011.495559215388,2.4864633792340336,True,0.0,1.2885013800114393,0.08042168593965471,0.05766170599963516,1-2-0-7-5-3-6-4,4->5,40320,0,7ba107b27391078d73b8ebbdad58971ff3aa39ed2923e5cd7f54c003c40b4dd5,octave-p8-bbox28x22-sp168-wp64-gp8-m20,template,off,30000,0
waksman,8,C_db_realistic,complete,8,17,5,17,20,15.0,42,0,0,93,23,0,88,30,2269.45130209103,3.7984212059855453,True,0.0,1.1559053920209408,0.06913365703076124,125.22242131293751,1-2-0-3-7-6-5-4,6->5,40320,0,a89ab96219993749886c756609324f43f9a288a8c632ebedb2b83f94e6200c56,octave-p8-bbox28x22-sp168-wp64-gp8-m20,astar,soft,30000,22
padded_benes,9,B_db_placeholder,complete,16,56,7,21,56,62.5,128,0,0,0,0,0,232,33,3857.1592653589796,7.9557482708925855,True,0.0,4.423890384961851,0.03406597697176039,0.44596645794808865,6-3-2-4-8-1-5-7-0,7->7,362880,0,2fc4460a6afc97c07a48b749c16bbef4f7e632cca4210a4796665b3cdfd04219,octave-p16-bbox28x22-sp232-wp64-gp8-m20,template,off,30000,0
waksman,9,B_db_placeholder,complete,9,21,7,21,56,62.5,51,0,0,10,3,0,88,20,3268.181393921157,6.787492149238803,True,0.0,2.9443176259519532,4.406316133914515,162.0513485840056,4-8-5-6-1-0-2-7-3,7->7,362880,0,98b62da06a20041ba96e4878a7b49f76291f7c74fbda79282fe6d61a83325701,octave-p16-bbox28x22-sp232-wp64-gp8-m20,astar,soft,30000,22
padded_benes,9,C_db_realistic,complete,16,56,7,21,56,62.5,128,0,0,0,0,0,232,36,3698.3274122871835,4.721762279586583,True,0.0,4.388971831998788,0.03508721408434212,0.44316226593218744,4-3-8-0-5-1-7-6-2,4->5,362880,0,2fc4460a6afc97c07a48b749c16bbef4f7e632cca4210a4796665b3cdfd04219,octave-p16-bbox28x22-sp232-wp64-gp8-m20,template,off,30000,0
waksman,9,C_db_realistic,complete,9,21,7,21,56,62.5,51,0,0,98,22,0,96,32,3292.283155162826,4.271953841468999,True,0.0,2.792049924028106,0.012193897971883416,249.96437067200895,8-5-1-4-6-3-7-2-0,2->1,362880,0,f0cf27a0bc4343952297df5748f398b88f63626649b7643a4f34014f985b316a,octave-p16-bbox28x22-sp232-wp64-gp8-m20,astar,soft,100000,26
waksman,10,B_db_placeholder,complete,10,25,7,25,56,55.357142857142854,60,0,0,10,2,0,112,21,3443.8893571891067,7.100242189683743,True,0.0,25.41548180906102,173.72027920989785,260.0982001191005,4-2-9-5-0-1-8-7-6-3,7->7,3628800,0,707d553ce923c27fc1ed3c4b08447c84b8b1d9b4ddc6dd1c234791b671bdce94,octave-p16-bbox28x22-sp232-wp64-gp8-m20,astar,soft,100000,30
