topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
padded_benes_4x4,default,1-2-0,0,1,routed,,547.685835,9,3,1.546603,0.904232,0.642372,349.000000,198.685835,0.106232,20.897640,3,physical,0,42
padded_benes_4x4,default,1-2-0,1,2,routed,,916.663706,16,3,2.338892,1.175565,1.163327,425.000000,491.663706,0.125565,20.560822,3,physical,0,42
padded_benes_4x4,default,1-2-0,2,0,routed,,816.517688,17,2,2.062933,1.162898,0.900035,409.000000,407.517688,0.144898,36.782770,3,physical,0,42
padded_benes_4x4,default,0-2-1,0,0,routed,,463.977871,7,4,1.449855,0.852899,0.596956,333.000000,130.977871,0.086899,18.006394,3,physical,1,42
padded_benes_4x4,default,0-2-1,1,2,routed,,916.663706,16,3,2.338892,1.175565,1.163327,425.000000,491.663706,0.125565,20.560822,3,physical,1,42
padded_benes_4x4,default,0-2-1,2,1,routed,,944.517688,17,3,2.399600,1.175565,1.224035,425.000000,519.517688,0.125565,20.617534,3,physical,1,42
padded_benes_4x4,default,1-0-2,0,1,routed,,563.393798,11,2,1.488019,0.904232,0.583788,349.000000,214.393798,0.106232,17.911512,3,physical,2,42
padded_benes_4x4,default,1-0-2,1,0,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate outside route window; source=I1->I2@(224.000,94.000):(224.000,107.000)->(224.000,11.000)x(152.000,94.000)->(240.000,94.000)",,,,,1.280232,,437.000000,,0.106232,20.391899,3,physical,2,42
padded_benes_4x4,default,1-0-2,2,2,routed,,739.393798,11,2,1.820686,1.228899,0.591788,421.000000,318.393798,0.086899,20.490621,3,physical,2,42
padded_benes_4x4,default,2-0-1,0,2,routed,,629.101761,13,4,1.829435,1.160232,0.669204,377.000000,252.101761,0.106232,20.511770,3,physical,3,42
padded_benes_4x4,default,2-0-1,1,0,routed,,803.247780,12,5,2.272727,1.280232,0.992496,437.000000,366.247780,0.106232,20.391985,3,physical,3,42
padded_benes_4x4,default,2-0-1,2,1,routed,,675.101761,13,3,1.840768,1.211565,0.629204,393.000000,282.101761,0.125565,34.630616,3,physical,3,42
padded_benes_4x4,default,0-1-2,0,0,routed,,463.977871,7,6,1.649855,0.852899,0.796956,333.000000,130.977871,0.086899,16.226353,3,physical,4,42
padded_benes_4x4,default,0-1-2,1,1,routed,,931.247780,12,6,2.609394,1.292899,1.316496,453.000000,478.247780,0.086899,17.481236,3,physical,4,42
padded_benes_4x4,default,0-1-2,2,2,routed,,765.393798,11,4,2.072686,1.228899,0.843788,421.000000,344.393798,0.086899,20.490621,3,physical,4,42
padded_benes_4x4,default,2-1-0,0,2,routed,,591.393798,11,4,1.744019,1.160232,0.583788,377.000000,214.393798,0.106232,20.511770,3,physical,5,42
padded_benes_4x4,default,2-1-0,1,1,routed,,915.247780,12,6,2.577394,1.292899,1.284496,453.000000,462.247780,0.086899,17.490683,3,physical,5,42
padded_benes_4x4,default,2-1-0,2,0,routed,,621.247780,12,4,1.808727,1.160232,0.648496,377.000000,244.247780,0.106232,20.567729,3,physical,5,42
waksman_3x3,default,1-2-0,0,1,routed,,769.393798,11,5,2.171053,0.999265,1.171788,361.000000,408.393798,0.077265,20.719261,3,physical,0,42
waksman_3x3,default,1-2-0,1,2,routed,,623.539816,10,3,1.693678,1.022598,0.671080,363.000000,260.539816,0.096598,36.906652,3,physical,0,42
waksman_3x3,default,1-2-0,2,0,routed,,539.831853,8,4,1.596929,0.971265,0.625664,347.000000,192.831853,0.077265,20.812478,3,physical,0,42
waksman_3x3,default,0-2-1,0,0,routed,,657.393798,11,4,1.866386,0.986598,0.879788,345.000000,312.393798,0.096598,34.851083,3,physical,1,42
waksman_3x3,default,0-2-1,1,2,routed,,623.539816,10,3,1.693678,1.022598,0.671080,363.000000,260.539816,0.096598,36.906652,3,physical,1,42
waksman_3x3,default,0-2-1,2,1,routed,,631.393798,11,3,1.714386,1.022598,0.691788,363.000000,268.393798,0.096598,36.924906,3,physical,1,42
waksman_3x3,default,1-0-2,0,1,routed,,569.539816,10,5,1.795311,1.104232,0.691080,349.000000,220.539816,0.106232,17.631607,3,physical,2,42
waksman_3x3,default,1-0-2,1,0,routed,,934.955743,14,3,2.317177,0.999265,1.317911,361.000000,573.955743,0.077265,20.672865,3,physical,2,42
waksman_3x3,default,1-0-2,2,2,routed,,670.123890,6,2,1.599214,0.850966,0.748248,361.000000,309.123890,0.028966,20.999562,3,physical,2,42
waksman_3x3,default,2-0-1,0,2,routed,,539.831853,8,2,1.396929,0.971265,0.425664,347.000000,192.831853,0.077265,20.764903,3,physical,3,42
waksman_3x3,default,2-0-1,1,0,routed,,753.247780,12,3,1.943761,0.999265,0.944496,361.000000,392.247780,0.077265,20.672823,3,physical,3,42
waksman_3x3,default,2-0-1,2,1,routed,,623.539816,10,3,1.693678,1.022598,0.671080,363.000000,260.539816,0.096598,36.917614,3,physical,3,42
waksman_3x3,default,0-1-2,0,0,routed,,463.977871,7,4,1.449855,1.052899,0.396956,333.000000,130.977871,0.086899,15.963170,3,physical,4,42
waksman_3x3,default,0-1-2,1,1,routed,,769.831853,8,2,1.837596,1.011933,0.825664,377.000000,392.831853,0.057933,17.762203,3,physical,4,42
waksman_3x3,default,0-1-2,2,2,routed,,670.123890,6,2,1.599214,0.850966,0.748248,361.000000,309.123890,0.028966,20.999562,3,physical,4,42
waksman_3x3,default,2-1-0,0,2,routed,,531.977871,7,2,1.376221,0.971265,0.404956,347.000000,184.977871,0.077265,20.764903,3,physical,5,42
waksman_3x3,default,2-1-0,1,1,routed,,865.247780,12,4,2.248428,1.011933,1.236496,377.000000,488.247780,0.057933,17.757488,3,physical,5,42
waksman_3x3,default,2-1-0,2,0,routed,,539.831853,8,4,1.596929,0.971265,0.625664,347.000000,192.831853,0.077265,20.793436,3,physical,5,42
spanke_benes_3x3,default,1-2-0,0,1,routed,,480.269908,5,3,1.362805,0.735265,0.627540,329.000000,151.269908,0.077265,21.066387,3,physical,0,42
spanke_benes_3x3,default,1-2-0,1,2,routed,,723.539816,10,3,1.874345,0.855265,1.019080,389.000000,334.539816,0.077265,20.946165,3,physical,0,42
spanke_benes_3x3,default,1-2-0,2,0,routed,,637.393798,11,2,1.626386,0.842598,0.783788,373.000000,264.393798,0.096598,41.326499,3,physical,0,42
spanke_benes_3x3,default,0-2-1,0,0,routed,,396.561945,3,4,1.266056,0.683933,0.582124,313.000000,83.561945,0.057933,18.151412,3,physical,1,42
spanke_benes_3x3,default,0-2-1,1,2,routed,,723.539816,10,3,1.874345,0.855265,1.019080,389.000000,334.539816,0.077265,20.946165,3,physical,1,42
spanke_benes_3x3,default,0-2-1,2,1,routed,,765.393798,11,3,1.963053,0.855265,1.107788,389.000000,376.393798,0.077265,20.975131,3,physical,1,42
spanke_benes_3x3,default,1-0-2,0,1,routed,,779.393798,11,5,2.220019,0.908232,1.311788,401.000000,378.393798,0.106232,17.916979,3,physical,2,42
spanke_benes_3x3,default,1-0-2,1,0,routed,,488.123890,6,3,1.383513,0.735265,0.648248,329.000000,159.123890,0.077265,21.143070,3,physical,2,42
spanke_benes_3x3,default,1-0-2,2,2,routed,,628.123890,6,2,1.515214,0.750966,0.764248,361.000000,267.123890,0.028966,21.118895,3,physical,2,42
spanke_benes_3x3,default,2-0-1,0,2,routed,,629.539816,10,2,1.605678,0.842598,0.763080,373.000000,256.539816,0.096598,41.297532,3,physical,3,42
spanke_benes_3x3,default,2-0-1,1,0,routed,,488.123890,6,3,1.383513,0.735265,0.648248,329.000000,159.123890,0.077265,21.114239,3,physical,3,42
spanke_benes_3x3,default,2-0-1,2,1,routed,,743.539816,10,3,1.914345,0.855265,1.059080,389.000000,354.539816,0.077265,20.994464,3,physical,3,42
spanke_benes_3x3,default,0-1-2,0,0,routed,,396.561945,3,4,1.266056,0.683933,0.582124,313.000000,83.561945,0.057933,18.156200,3,physical,4,42
spanke_benes_3x3,default,0-1-2,1,1,routed,,895.247780,12,6,2.537394,0.920899,1.616496,417.000000,478.247780,0.086899,16.139085,3,physical,4,42
spanke_benes_3x3,default,0-1-2,2,2,routed,,628.123890,6,2,1.515214,0.750966,0.764248,361.000000,267.123890,0.028966,21.099562,3,physical,4,42
spanke_benes_3x3,default,2-1-0,0,2,routed,,607.685835,9,2,1.556970,0.842598,0.714372,373.000000,234.685835,0.096598,41.297532,3,physical,5,42
spanke_benes_3x3,default,2-1-0,1,1,routed,,571.831853,8,2,1.480262,0.786598,0.693664,345.000000,226.831853,0.096598,41.377615,3,physical,5,42
spanke_benes_3x3,default,2-1-0,2,0,routed,,637.393798,11,2,1.626386,0.842598,0.783788,373.000000,264.393798,0.096598,41.345832,3,physical,5,42
spanke_benes_rect_3x3,default,1-2-0,0,1,routed,,480.269908,5,3,1.362805,0.735265,0.627540,329.000000,151.269908,0.077265,21.066387,3,physical,0,42
spanke_benes_rect_3x3,default,1-2-0,1,2,routed,,723.539816,10,3,1.874345,0.855265,1.019080,389.000000,334.539816,0.077265,20.946165,3,physical,0,42
spanke_benes_rect_3x3,default,1-2-0,2,0,routed,,637.393798,11,2,1.626386,0.842598,0.783788,373.000000,264.393798,0.096598,41.326499,3,physical,0,42
spanke_benes_rect_3x3,default,0-2-1,0,0,routed,,396.561945,3,4,1.266056,0.683933,0.582124,313.000000,83.561945,0.057933,18.151412,3,physical,1,42
spanke_benes_rect_3x3,default,0-2-1,1,2,routed,,723.539816,10,3,1.874345,0.855265,1.019080,389.000000,334.539816,0.077265,20.946165,3,physical,1,42
spanke_benes_rect_3x3,default,0-2-1,2,1,routed,,765.393798,11,3,1.963053,0.855265,1.107788,389.000000,376.393798,0.077265,20.975131,3,physical,1,42
spanke_benes_rect_3x3,default,1-0-2,0,1,routed,,779.393798,11,5,2.220019,0.908232,1.311788,401.000000,378.393798,0.106232,17.916979,3,physical,2,42
spanke_benes_rect_3x3,default,1-0-2,1,0,routed,,488.123890,6,3,1.383513,0.735265,0.648248,329.000000,159.123890,0.077265,21.143070,3,physical,2,42
spanke_benes_rect_3x3,default,1-0-2,2,2,routed,,628.123890,6,2,1.515214,0.750966,0.764248,361.000000,267.123890,0.028966,21.118895,3,physical,2,42
spanke_benes_rect_3x3,default,2-0-1,0,2,routed,,629.539816,10,2,1.605678,0.842598,0.763080,373.000000,256.539816,0.096598,41.297532,3,physical,3,42
spanke_benes_rect_3x3,default,2-0-1,1,0,routed,,488.123890,6,3,1.383513,0.735265,0.648248,329.000000,159.123890,0.077265,21.114239,3,physical,3,42
spanke_benes_rect_3x3,default,2-0-1,2,1,routed,,743.539816,10,3,1.914345,0.855265,1.059080,389.000000,354.539816,0.077265,20.994464,3,physical,3,42
spanke_benes_rect_3x3,default,0-1-2,0,0,routed,,396.561945,3,4,1.266056,0.683933,0.582124,313.000000,83.561945,0.057933,18.156200,3,physical,4,42
spanke_benes_rect_3x3,default,0-1-2,1,1,routed,,895.247780,12,6,2.537394,0.920899,1.616496,417.000000,478.247780,0.086899,16.139085,3,physical,4,42
spanke_benes_rect_3x3,default,0-1-2,2,2,routed,,628.123890,6,2,1.515214,0.750966,0.764248,361.000000,267.123890,0.028966,21.099562,3,physical,4,42
spanke_benes_rect_3x3,default,2-1-0,0,2,routed,,607.685835,9,2,1.556970,0.842598,0.714372,373.000000,234.685835,0.096598,41.297532,3,physical,5,42
spanke_benes_rect_3x3,default,2-1-0,1,1,routed,,571.831853,8,2,1.480262,0.786598,0.693664,345.000000,226.831853,0.096598,41.377615,3,physical,5,42
spanke_benes_rect_3x3,default,2-1-0,2,0,routed,,637.393798,11,2,1.626386,0.842598,0.783788,373.000000,264.393798,0.096598,41.345832,3,physical,5,42
padded_benes_4x4,default,2-1-3-0,0,2,routed,,664.809725,15,10,2.510851,1.160232,1.350619,377.000000,287.809725,0.106232,17.613447,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,1,1,routed,,915.247780,12,10,2.977394,1.292899,1.684496,453.000000,462.247780,0.086899,15.761267,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,2,3,routed,,1092.225651,19,13,3.685683,1.032232,2.653451,413.000000,679.225651,0.106232,17.821878,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,3,0,routed,,734.809725,15,7,2.370184,1.211565,1.158619,393.000000,341.809725,0.125565,20.496692,4,physical,0,42
padded_benes_4x4,default,0-3-2-1,0,0,routed,,463.977871,7,6,1.649855,0.852899,0.796956,333.000000,130.977871,0.086899,16.232745,4,physical,1,42
padded_benes_4x4,default,0-3-2-1,1,3,routed,,1038.663706,16,6,2.863559,1.288232,1.575327,441.000000,597.663706,0.106232,17.475978,4,physical,1,42
padded_benes_4x4,default,0-3-2-1,2,2,routed,,765.393798,11,8,2.472686,1.228899,1.243788,421.000000,344.393798,0.086899,15.812571,4,physical,1,42
padded_benes_4x4,default,0-3-2-1,3,1,routed,,1028.371669,18,6,2.852975,1.288232,1.564743,441.000000,587.371669,0.106232,17.475978,4,physical,1,42
padded_benes_4x4,default,3-0-1-2,0,3,routed,,734.809725,15,8,2.470184,1.211565,1.258619,393.000000,341.809725,0.125565,20.441242,4,physical,2,42
padded_benes_4x4,default,3-0-1-2,1,0,routed,,803.247780,12,5,2.272727,1.280232,0.992496,437.000000,366.247780,0.106232,17.469926,4,physical,2,42
padded_benes_4x4,default,3-0-1-2,2,1,failed,"capped rip-up hop exhausted bounded candidates before A*: deterministic hop candidate segment is blocked; blocked_by=I3/external/spacing:(120.000,40.000)->(120.000,14.000)",,,,,1.211565,,393.000000,,0.125565,20.441242,4,physical,2,42
padded_benes_4x4,default,3-0-1-2,3,2,routed,,1024.371669,18,7,2.944975,1.032232,1.912743,413.000000,611.371669,0.106232,17.783556,4,physical,2,42
padded_benes_4x4,default,3-2-1-0,0,3,routed,,712.809725,15,7,2.326184,1.211565,1.114619,393.000000,319.809725,0.125565,20.441327,4,physical,3,42
padded_benes_4x4,default,3-2-1-0,1,2,routed,,916.663706,16,7,2.738892,1.275565,1.463327,425.000000,491.663706,0.125565,20.377327,4,physical,3,42
padded_benes_4x4,default,3-2-1-0,2,1,routed,,675.101761,13,5,2.040768,1.211565,0.829204,393.000000,282.101761,0.125565,20.441327,4,physical,3,42
padded_benes_4x4,default,3-2-1-0,3,0,routed,,936.371669,18,5,2.588308,1.275565,1.312743,425.000000,511.371669,0.125565,20.377327,4,physical,3,42
padded_benes_4x4,default,2-0-3-1,0,2,routed,,664.809725,15,10,2.510851,1.160232,1.350619,377.000000,287.809725,0.106232,17.613447,4,physical,4,42
padded_benes_4x4,default,2-0-3-1,1,0,routed,,803.247780,12,9,2.672727,1.280232,1.392496,437.000000,366.247780,0.106232,17.479426,4,physical,4,42
padded_benes_4x4,default,2-0-3-1,2,3,routed,,1092.225651,19,13,3.685683,1.032232,2.653451,413.000000,679.225651,0.106232,17.821878,4,physical,4,42
padded_benes_4x4,default,2-0-3-1,3,1,routed,,826.371669,18,6,2.487641,1.262898,1.224743,409.000000,417.371669,0.144898,34.097714,4,physical,4,42
padded_benes_4x4,default,1-3-0-2,0,1,routed,,547.685835,9,5,1.746603,0.904232,0.842372,349.000000,198.685835,0.106232,17.921202,4,physical,5,42
padded_benes_4x4,default,1-3-0-2,1,3,routed,,1038.663706,16,6,2.863559,1.288232,1.575327,441.000000,597.663706,0.106232,17.485447,4,physical,5,42
padded_benes_4x4,default,1-3-0-2,2,0,routed,,832.225651,19,4,2.304349,1.262898,1.041451,409.000000,423.225651,0.144898,34.097714,4,physical,5,42
padded_benes_4x4,default,1-3-0-2,3,2,routed,,856.955743,14,7,2.590143,1.280232,1.309911,437.000000,419.955743,0.106232,17.507670,4,physical,5,42
padded_benes_4x4,default,2-3-1-0,0,2,routed,,629.393798,11,8,2.220019,1.160232,1.059788,377.000000,252.393798,0.106232,17.613403,4,physical,6,42
padded_benes_4x4,default,2-3-1-0,1,3,routed,,1054.371669,18,8,3.104975,1.288232,1.816743,441.000000,613.371669,0.106232,17.485403,4,physical,6,42
padded_benes_4x4,default,2-3-1-0,2,1,routed,,675.101761,13,5,2.040768,1.211565,0.829204,393.000000,282.101761,0.125565,20.441327,4,physical,6,42
padded_benes_4x4,default,2-3-1-0,3,0,routed,,936.371669,18,5,2.588308,1.275565,1.312743,425.000000,511.371669,0.125565,20.377327,4,physical,6,42
padded_benes_4x4,default,1-3-2-0,0,1,routed,,563.393798,11,3,1.588019,0.904232,0.683788,349.000000,214.393798,0.106232,17.911556,4,physical,7,42
padded_benes_4x4,default,1-3-2-0,1,3,failed,capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate outside route window,,,,,1.288232,,441.000000,,0.106232,17.475978,4,physical,7,42
padded_benes_4x4,default,1-3-2-0,2,2,routed,,739.393798,11,5,2.120686,1.228899,0.891788,421.000000,318.393798,0.086899,15.812571,4,physical,7,42
padded_benes_4x4,default,1-3-2-0,3,0,routed,,884.663706,16,4,2.374892,1.275565,1.099327,425.000000,459.663706,0.125565,20.377242,4,physical,7,42
padded_benes_4x4,default,2-1-0-3,0,2,routed,,686.809725,15,10,2.554851,1.160232,1.394619,377.000000,309.809725,0.106232,17.603978,4,physical,8,42
padded_benes_4x4,default,2-1-0-3,1,1,routed,,915.247780,12,10,2.977394,1.292899,1.684496,453.000000,462.247780,0.086899,15.748571,4,physical,8,42
padded_benes_4x4,default,2-1-0-3,2,0,routed,,657.247780,12,10,2.480727,1.160232,1.320496,377.000000,280.247780,0.106232,17.603978,4,physical,8,42
padded_benes_4x4,default,2-1-0-3,3,3,routed,,1176.079633,20,16,4.139058,1.044899,3.094159,429.000000,747.079633,0.086899,16.040745,4,physical,8,42
padded_benes_4x4,default,2-3-0-1,0,2,routed,,591.393798,11,6,1.944019,1.160232,0.783788,377.000000,214.393798,0.106232,17.613403,4,physical,9,42
padded_benes_4x4,default,2-3-0-1,1,3,routed,,1038.663706,16,6,2.863559,1.288232,1.575327,441.000000,597.663706,0.106232,17.485403,4,physical,9,42
padded_benes_4x4,default,2-3-0-1,2,0,routed,,621.393798,11,8,2.204019,1.160232,1.043788,377.000000,244.393798,0.106232,17.613403,4,physical,9,42
padded_benes_4x4,default,2-3-0-1,3,1,routed,,1072.079633,20,8,3.150391,1.288232,1.862159,441.000000,631.079633,0.106232,17.485403,4,physical,9,42
padded_benes_4x4,default,0-1-3-2,0,0,routed,,463.977871,7,8,1.849855,0.852899,0.996956,333.000000,130.977871,0.086899,16.226353,4,physical,10,42
padded_benes_4x4,default,0-1-3-2,1,1,routed,,931.247780,12,8,2.809394,1.292899,1.516496,453.000000,478.247780,0.086899,15.742243,4,physical,10,42
padded_benes_4x4,default,0-1-3-2,2,3,routed,,849.101761,13,9,2.769435,1.280232,1.489204,437.000000,412.101761,0.106232,17.469882,4,physical,10,42
padded_benes_4x4,default,0-1-3-2,3,2,routed,,1409.787596,22,9,3.935807,1.032232,2.903575,413.000000,996.787596,0.106232,17.783512,4,physical,10,42
padded_benes_4x4,default,2-0-1-3,0,2,routed,,717.101761,13,8,2.405435,1.160232,1.245204,377.000000,340.101761,0.106232,17.603978,4,physical,11,42
padded_benes_4x4,default,2-0-1-3,1,0,routed,,834.663706,16,7,2.555559,1.280232,1.275327,437.000000,397.663706,0.106232,17.469926,4,physical,11,42
padded_benes_4x4,default,2-0-1-3,2,1,routed,,734.809725,15,7,2.370184,1.211565,1.158619,393.000000,341.809725,0.125565,20.441242,4,physical,11,42
padded_benes_4x4,default,2-0-1-3,3,3,routed,,1146.371669,18,10,3.469642,1.044899,2.424743,429.000000,717.371669,0.086899,16.040745,4,physical,11,42
padded_benes_4x4,default,3-1-2-0,0,3,routed,,751.101761,13,7,2.392768,1.211565,1.181204,393.000000,358.101761,0.125565,20.441413,4,physical,12,42
padded_benes_4x4,default,3-1-2-0,1,1,routed,,915.247780,12,8,2.777394,1.292899,1.484496,453.000000,462.247780,0.086899,15.761267,4,physical,12,42
padded_benes_4x4,default,3-1-2-0,2,2,routed,,940.517688,17,8,2.891600,1.019565,1.872035,397.000000,543.517688,0.125565,20.790880,4,physical,12,42
