topology,layout,paths,worst_il_db,avg_il_db,il_std_db,il_iqr_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count,crossing_loss_db_per_cross
padded_benes_4x4,default,18,1.2928987946072859,1.1388984043194315,0.14692514658892708,0.06866705695452113,1.175564680698244,1.284031854739121,1.2928987946072859,1.2928987946072859,16.226352891716623,21.36237661963439,16.439683086438247,17.29300386532475,5,3,4,logical,42,exhaustive,0,6,6,3,2.0,0.1
waksman_3x3,default,18,1.1042317376527648,0.9912654727836697,0.05893632535151177,0.05133294304547942,0.9992654727836696,1.03168852946259,1.0605987360641076,1.0955051373350333,15.963169775647373,24.378953696172616,16.24680406029988,17.381341198909904,4,3,3,logical,42,exhaustive,0,6,3,3,2.0,0.1
spanke_benes_3x3,default,18,0.9208987946072856,0.8045988061170031,0.0706826807619814,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.91182021911119,16.441327047563384,17.650295250363058,4,3,3,logical,42,exhaustive,0,6,3,3,0.0,0.1
spanke_benes_rect_3x3,default,18,0.9208987946072856,0.8045988061170031,0.0706826807619814,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.91182021911119,16.441327047563384,17.650295250363058,4,3,3,logical,42,exhaustive,0,6,3,3,0.0,0.1
padded_benes_4x4,default,96,1.3315646806982442,1.1774538948270117,0.13978274455809678,0.14883323576136975,1.2288987946072858,1.2882317376527648,1.2928987946072859,1.3315646806982442,15.742243391814604,18.780517918833763,15.742243391814604,15.761267055104376,64,4,4,logical,42,exhaustive,0,24,6,3,3.0,0.1
waksman_4x4,default,96,1.1928987946072858,1.0309707623924638,0.1016683681310699,0.15600000000000014,1.0692311522209839,1.1738982091755044,1.1802317376527647,1.1928987946072858,15.864242141755827,22.362782869220442,15.870283544965266,16.231146782978,40,4,4,logical,42,exhaustive,0,24,5,3,1.0,0.1
spanke_benes_4x4,default,96,1.5108313243454758,1.3098982091755051,0.10802184724335323,0.11999999999999988,1.333048398564573,1.4451980025218603,1.4451980025218603,1.5108313243454758,13.348004461779354,22.036590306495153,13.349824209948707,15.608124219253874,36,4,4,logical,42,exhaustive,0,24,6,5,0.0,0.1
spanke_benes_rect_4x4,default,96,1.2351980025218603,1.0998982091755045,0.09689720611118316,0.14804048141595771,1.1135646806982442,1.2225309455673394,1.2351980025218603,1.2351980025218603,14.653190696647266,22.121149193824127,14.653190696647265,15.848562707721369,44,4,4,logical,42,exhaustive,0,24,6,4,0.0,0.1
padded_benes_8x8,default,600,3.0094972104364346,2.5325551547370315,0.28861855454356017,0.30816734967041093,2.610163096527393,2.843297561695505,2.9085312658022966,2.95867759682141,12.852549921766235,16.360905863211936,12.857234052482893,13.127297966350396,576,5,8,logical,42,exhaustive,0,120,20,5,9.533333333333333,0.1
waksman_5x5,default,600,2.3694972104364345,1.8643092113059905,0.20657720001482416,0.2199999999999993,1.9002317376527647,2.0675646806982444,2.1188976237437234,2.31867759682141,12.597042248705321,19.528527020149657,13.425429436237385,14.549221369532884,480,5,5,logical,42,exhaustive,0,120,8,5,6.5,0.1
