wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1543.5000,1.942290e+14,B,A,0.99301612,-0.08510127,0.98942247,-0.08440496
1543.5500,1.942227e+14,B,A,0.99287489,-0.08673254,0.98914276,-0.08600664
1543.6000,1.942164e+14,B,A,0.99272804,-0.08839689,0.98885197,-0.08763983
1543.6500,1.942101e+14,B,A,0.99257528,-0.09009563,0.98854952,-0.08930576
1543.7000,1.942038e+14,B,A,0.99241631,-0.09183015,0.98823483,-0.09100571
1543.7500,1.941975e+14,B,A,0.99225080,-0.09360190,0.98790727,-0.09274100
1543.8000,1.941913e+14,B,A,0.99207842,-0.09541241,0.98756614,-0.09451304
1543.8500,1.941850e+14,B,A,0.99189879,-0.09726331,0.98721074,-0.09632332
1543.9000,1.941787e+14,B,A,0.99171152,-0.09915628,0.98684028,-0.09817336
1543.9500,1.941724e+14,B,A,0.99151619,-0.10109311,0.98645394,-0.10006481
1544.0000,1.941661e+14,B,A,0.99131234,-0.10307571,0.98605085,-0.10199938
1544.0500,1.941598e+14,B,A,0.99109949,-0.10510607,0.98563004,-0.10397888
1544.1000,1.941535e+14,B,A,0.99087712,-0.10718629,0.98519052,-0.10600519
1544.1500,1.941472e+14,B,A,0.99064467,-0.10931862,0.98473118,-0.10808033
1544.2000,1.941410e+14,B,A,0.99040155,-0.11150540,0.98425087,-0.11020642
1544.2500,1.941347e+14,B,A,0.99014712,-0.11374915,0.98374833,-0.11238567
1544.3000,1.941284e+14,B,A,0.98988067,-0.11605252,0.98322220,-0.11462045
1544.3500,1.941221e+14,B,A,0.98960146,-0.11841833,0.98267102,-0.11691326
1544.4000,1.941158e+14,B,A,0.98930869,-0.12084956,0.98209324,-0.11926671
1544.4500,1.941095e+14,B,A,0.98900148,-0.12334940,0.98148715,-0.12168362
1544.5000,1.941032e+14,B,A,0.98867890,-0.12592123,0.98085092,-0.12416692
1544.5500,1.940970e+14,B,A,0.98833991,-0.12856866,0.98018258,-0.12671975
1544.6000,1.940907e+14,B,A,0.98798342,-0.13129553,0.97947996,-0.12934543
1544.6500,1.940844e+14,B,A,0.98760822,-0.13410594,0.97874075,-0.13204750
1544.7000,1.940781e+14,B,A,0.98721301,-0.13700428,0.97796241,-0.13482969
1544.7500,1.940718e+14,B,A,0.98679636,-0.13999524,0.97714219,-0.13769599
1544.8000,1.940655e+14,B,A,0.98635673,-0.14308384,0.97627711,-0.14065064
1544.8500,1.940593e+14,B,A,0.98589242,-0.14627547,0.97536388,-0.14369815
1544.9000,1.940530e+14,B,A,0.98540159,-0.14957589,0.97439895,-0.14684334
1544.9500,1.940467e+14,B,A,0.98488220,-0.15299133,0.97337842,-0.15009132
1545.0000,1.940404e+14,B,A,0.98433205,-0.15652847,0.97229801,-0.15344759
1545.0500,1.940341e+14,B,A,0.98374868,-0.16019451,0.97115303,-0.15691798
1545.1000,1.940279e+14,B,A,0.98312941,-0.16399722,0.96993834,-0.16050874
1545.1500,1.940216e+14,B,A,0.98247128,-0.16794499,0.96864826,-0.16422656
1545.2000,1.940153e+14,B,A,0.98177102,-0.17204691,0.96727655,-0.16807861
1545.2500,1.940090e+14,B,A,0.98102502,-0.17631283,0.96581630,-0.17207254
1545.3000,1.940028e+14,B,A,0.98022926,-0.18075343,0.96425988,-0.17621658
1545.3500,1.939965e+14,B,A,0.97937928,-0.18538033,0.96259881,-0.18051954
1545.4000,1.939902e+14,B,A,0.97847012,-0.19020617,0.96082368,-0.18499089
1545.4500,1.939839e+14,B,A,0.97749624,-0.19524476,0.95892402,-0.18964077
1545.5000,1.939776e+14,B,A,0.97645145,-0.20051118,0.95688814,-0.19448012
1545.5500,1.939714e+14,B,A,0.97532881,-0.20602192,0.95470299,-0.19952065
1545.6000,1.939651e+14,B,A,0.97412051,-0.21179510,0.95235392,-0.20477496
1545.6500,1.939588e+14,B,A,0.97281776,-0.21785062,0.94982449,-0.21025661
1545.7000,1.939526e+14,B,A,0.97141064,-0.22421040,0.94709620,-0.21598013
1545.7500,1.939463e+14,B,A,0.96988788,-0.23089863,0.94414815,-0.22196116
1545.8000,1.939400e+14,B,A,0.96823670,-0.23794207,0.94095672,-0.22821646
1545.8500,1.939337e+14,B,A,0.96644253,-0.24537039,0.93749509,-0.23476400
1545.9000,1.939275e+14,B,A,0.96448873,-0.25321658,0.93373274,-0.24162300
1545.9500,1.939212e+14,B,A,0.96235618,-0.26151737,0.92963490,-0.24881394
1546.0000,1.939149e+14,B,A,0.96002291,-0.27031381,0.92516174,-0.25635863
1546.0500,1.939086e+14,B,A,0.95746353,-0.27965188,0.92026759,-0.26428011
1546.1000,1.939024e+14,B,A,0.95464863,-0.28958320,0.91489990,-0.27260259
1546.1500,1.938961e+14,B,A,0.95154396,-0.30016592,0.90899799,-0.28135129
1546.2000,1.938898e+14,B,A,0.94810954,-0.31146573,0.90249164,-0.29055212
1546.2500,1.938836e+14,B,A,0.94429847,-0.32355705,0.89529929,-0.30023124
1546.3000,1.938773e+14,B,A,0.94005553,-0.33652446,0.88732595,-0.31041433
1546.3500,1.938710e+14,B,A,0.93531537,-0.35046436,0.87846071,-0.32112555
1546.4000,1.938648e+14,B,A,0.93000035,-0.36548701,0.86857365,-0.33238601
1546.4500,1.938585e+14,B,A,0.92401783,-0.38171886,0.85751230,-0.34421158
1546.5000,1.938522e+14,B,A,0.91725672,-0.39930539,0.84509729,-0.35660966
1546.5500,1.938460e+14,B,A,0.90958321,-0.41841449,0.83111738,-0.36957478
1546.6000,1.938397e+14,B,A,0.90083546,-0.43924036,0.81532362,-0.38308214
1546.6500,1.938334e+14,B,A,0.89081684,-0.46200821,0.79742284,-0.39707865
1546.7000,1.938272e+14,B,A,0.87928755,-0.48697962,0.77707064,-0.41147032
1546.7500,1.938209e+14,B,A,0.86595422,-0.51445870,0.75386442,-0.42610463
1546.8000,1.938146e+14,B,A,0.85045707,-0.54479887,0.72733772,-0.44074605
1546.8500,1.938084e+14,B,A,0.83235448,-0.57841006,0.69695780,-0.45504263
1546.9000,1.938021e+14,B,A,0.81110489,-0.61576547,0.66213052,-0.46848086
1546.9500,1.937958e+14,B,A,0.78604694,-0.65740676,0.62221867,-0.48032668
1547.0000,1.937896e+14,B,A,0.75637961,-0.70394512,0.57658419,-0.48955162
1547.0500,1.937833e+14,B,A,0.72114713,-0.75605415,0.52466969,-0.49474732
1547.1000,1.937770e+14,B,A,0.67923711,-0.81444784,0.46614013,-0.49404092
1547.1500,1.937708e+14,B,A,0.62940666,-0.87983288,0.40110824,-0.48504116
1547.2000,1.937645e+14,B,A,0.57035896,-0.95281973,0.33045866,-0.46487247
1547.2500,1.937583e+14,B,A,0.50089837,-1.03376790,0.25625208,-0.43038825
1547.3000,1.937520e+14,B,A,0.42018822,-1.12252136,0.18211444,-0.37867199
1547.3500,1.937457e+14,B,A,0.32810721,-1.21790097,0.11339916,-0.30788792
1547.4000,1.937395e+14,B,A,0.22563817,-1.31627052,0.05681265,-0.21836874
1547.4500,1.937332e+14,B,A,0.11515533,-1.40272048,0.01926383,-0.11353261
1547.5000,1.937270e+14,B,A,0.00607618,-0.00000000,0.00607618,-0.00000000
1547.5500,1.937207e+14,B,A,0.11514800,1.40272450,0.01926215,0.11352547
1547.6000,1.937144e+14,B,A,0.22561052,1.31629562,0.05680021,0.21834341
1547.6500,1.937082e+14,B,A,0.32805049,1.21795786,0.11336204,0.30784114
1547.7000,1.937019e+14,B,A,0.42009885,1.12261686,0.18203955,0.37860883
1547.7500,1.936957e+14,B,A,0.50077725,1.03390509,0.25613109,0.43031932
