wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1551.0000,1.932898e+14,B,A,0.99311569,0.08384290,0.98962712,0.08316818
1551.0500,1.932836e+14,B,A,0.99325807,0.08214247,0.98990900,0.08149695
1551.1000,1.932773e+14,B,A,0.99339471,0.08047684,0.99017957,0.07985900
1551.1500,1.932711e+14,B,A,0.99352590,0.07884463,0.99043938,0.07825305
1551.2000,1.932649e+14,B,A,0.99365191,0.07724451,0.99068896,0.07667785
1551.2500,1.932586e+14,B,A,0.99377298,0.07567522,0.99092880,0.07513223
1551.3000,1.932524e+14,B,A,0.99388936,0.07413557,0.99115936,0.07361507
1551.3500,1.932462e+14,B,A,0.99400126,0.07262440,0.99138108,0.07212531
1551.4000,1.932399e+14,B,A,0.99410889,0.07114065,0.99159437,0.07066191
1551.4500,1.932337e+14,B,A,0.99421246,0.06968326,0.99179961,0.06922391
1551.5000,1.932275e+14,B,A,0.99431213,0.06825125,0.99199716,0.06781037
1551.5500,1.932213e+14,B,A,0.99440809,0.06684367,0.99218737,0.06642040
1551.6000,1.932150e+14,B,A,0.99450050,0.06545961,0.99237056,0.06505314
1551.6500,1.932088e+14,B,A,0.99458951,0.06409822,0.99254703,0.06370777
1551.7000,1.932026e+14,B,A,0.99467527,0.06275866,0.99271707,0.06238352
1551.7500,1.931964e+14,B,A,0.99475792,0.06144014,0.99288096,0.06107962
1551.8000,1.931901e+14,B,A,0.99483758,0.06014190,0.99303894,0.05979536
1551.8500,1.931839e+14,B,A,0.99491438,0.05886322,0.99319125,0.05853005
1551.9000,1.931777e+14,B,A,0.99498844,0.05760338,0.99333814,0.05728301
1551.9500,1.931715e+14,B,A,0.99505986,0.05636173,0.99347981,0.05605361
1552.0000,1.931652e+14,B,A,0.99512876,0.05513763,0.99361647,0.05484124
1552.0500,1.931590e+14,B,A,0.99519522,0.05393044,0.99374831,0.05364530
1552.1000,1.931528e+14,B,A,0.99525934,0.05273958,0.99387552,0.05246523
1552.1500,1.931466e+14,B,A,0.99532121,0.05156447,0.99399827,0.05130047
1552.2000,1.931404e+14,B,A,0.99538091,0.05040457,0.99411674,0.05015051
1552.2500,1.931341e+14,B,A,0.99543853,0.04925935,0.99423106,0.04901482
1552.3000,1.931279e+14,B,A,0.99549413,0.04812828,0.99434141,0.04789293
1552.3500,1.931217e+14,B,A,0.99554780,0.04701089,0.99444791,0.04678435
1552.4000,1.931155e+14,B,A,0.99559959,0.04590669,0.99455070,0.04568863
1552.4500,1.931093e+14,B,A,0.99564958,0.04481522,0.99464992,0.04460533
1552.5000,1.931030e+14,B,A,0.99569783,0.04373606,0.99474567,0.04353401
1552.5500,1.930968e+14,B,A,0.99574438,0.04266875,0.99483808,0.04247428
1552.6000,1.930906e+14,B,A,0.99578931,0.04161290,0.99492726,0.04142572
1552.6500,1.930844e+14,B,A,0.99583266,0.04056810,0.99501332,0.04038796
1552.7000,1.930782e+14,B,A,0.99587448,0.03953397,0.99509634,0.03936061
1552.7500,1.930719e+14,B,A,0.99591482,0.03851012,0.99517643,0.03834332
1552.8000,1.930657e+14,B,A,0.99595373,0.03749620,0.99525368,0.03733573
1552.8500,1.930595e+14,B,A,0.99599125,0.03649186,0.99532817,0.03633750
1552.9000,1.930533e+14,B,A,0.99602742,0.03549674,0.99539998,0.03534831
1552.9500,1.930471e+14,B,A,0.99606228,0.03451053,0.99546919,0.03436782
1553.0000,1.930409e+14,B,A,0.99609587,0.03353290,0.99553589,0.03339572
1553.0500,1.930346e+14,B,A,0.99612822,0.03256353,0.99560012,0.03243172
1553.1000,1.930284e+14,B,A,0.99615936,0.03160213,0.99566198,0.03147551
1553.1500,1.930222e+14,B,A,0.99618934,0.03064839,0.99572151,0.03052682
1553.2000,1.930160e+14,B,A,0.99621818,0.02970202,0.99577878,0.02958535
1553.2500,1.930098e+14,B,A,0.99624591,0.02876276,0.99583384,0.02865083
1553.3000,1.930036e+14,B,A,0.99627255,0.02783032,0.99588676,0.02772300
1553.3500,1.929974e+14,B,A,0.99629814,0.02690443,0.99593758,0.02680160
1553.4000,1.929912e+14,B,A,0.99632270,0.02598485,0.99598636,0.02588638
1553.4500,1.929849e+14,B,A,0.99634625,0.02507130,0.99603313,0.02497708
1553.5000,1.929787e+14,B,A,0.99636882,0.02416355,0.99607796,0.02407346
1553.5500,1.929725e+14,B,A,0.99639043,0.02326135,0.99612087,0.02317530
1553.6000,1.929663e+14,B,A,0.99641109,0.02236447,0.99616191,0.02228234
1553.6500,1.929601e+14,B,A,0.99643083,0.02147266,0.99620113,0.02139438
1553.7000,1.929539e+14,B,A,0.99644967,0.02058571,0.99623854,0.02051118
1553.7500,1.929477e+14,B,A,0.99646762,0.01970340,0.99627420,0.01963253
1553.8000,1.929415e+14,B,A,0.99648470,0.01882549,0.99630813,0.01875821
1553.8500,1.929353e+14,B,A,0.99650093,0.01795179,0.99634036,0.01788801
1553.9000,1.929291e+14,B,A,0.99651631,0.01708206,0.99637093,0.01702173
1553.9500,1.929228e+14,B,A,0.99653087,0.01621612,0.99639985,0.01615916
1554.0000,1.929166e+14,B,A,0.99654462,0.01535376,0.99642716,0.01530010
1554.0500,1.929104e+14,B,A,0.99655757,0.01449476,0.99645288,0.01444436
1554.1000,1.929042e+14,B,A,0.99656973,0.01363894,0.99647704,0.01359174
1554.1500,1.928980e+14,B,A,0.99658111,0.01278611,0.99649965,0.01274205
1554.2000,1.928918e+14,B,A,0.99659172,0.01193606,0.99652073,0.01189509
1554.2500,1.928856e+14,B,A,0.99660157,0.01108861,0.99654030,0.01105070
1554.3000,1.928794e+14,B,A,0.99661068,0.01024357,0.99655839,0.01020867
1554.3500,1.928732e+14,B,A,0.99661904,0.00940075,0.99657500,0.00936883
1554.4000,1.928670e+14,B,A,0.99662666,0.00855998,0.99659015,0.00853100
1554.4500,1.928608e+14,B,A,0.99663356,0.00772106,0.99660385,0.00769499
1554.5000,1.928546e+14,B,A,0.99663974,0.00688382,0.99661612,0.00686064
1554.5500,1.928484e+14,B,A,0.99664519,0.00604808,0.99662697,0.00602776
1554.6000,1.928422e+14,B,A,0.99664994,0.00521366,0.99663639,0.00519617
1554.6500,1.928360e+14,B,A,0.99665398,0.00438039,0.99664441,0.00436572
1554.7000,1.928298e+14,B,A,0.99665731,0.00354809,0.99665104,0.00353622
1554.7500,1.928236e+14,B,A,0.99665994,0.00271658,0.99665626,0.00270750
1554.8000,1.928174e+14,B,A,0.99666187,0.00188569,0.99666010,0.00187939
1554.8500,1.928112e+14,B,A,0.99666310,0.00105524,0.99666255,0.00105172
