wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1543.5000,1.942290e+14,B,A,0.99501661,0.05740128,0.99337782,0.05708386
1543.5500,1.942227e+14,B,A,0.99507051,0.05646042,0.99348489,0.05615225
1543.6000,1.942164e+14,B,A,0.99512294,0.05552969,0.99358908,0.05523048
1543.6500,1.942101e+14,B,A,0.99517397,0.05460882,0.99369047,0.05431827
1543.7000,1.942038e+14,B,A,0.99522362,0.05369753,0.99378914,0.05341537
1543.7500,1.941975e+14,B,A,0.99527195,0.05279558,0.99388517,0.05252155
1543.8000,1.941913e+14,B,A,0.99531898,0.05190272,0.99397864,0.05163657
1543.8500,1.941850e+14,B,A,0.99536476,0.05101869,0.99406962,0.05076018
1543.9000,1.941787e+14,B,A,0.99540931,0.05014328,0.99415817,0.04989217
1543.9500,1.941724e+14,B,A,0.99545268,0.04927624,0.99424438,0.04903232
1544.0000,1.941661e+14,B,A,0.99549490,0.04841737,0.99432829,0.04818041
1544.0500,1.941598e+14,B,A,0.99553600,0.04756643,0.99440998,0.04733624
1544.1000,1.941535e+14,B,A,0.99557600,0.04672322,0.99448950,0.04649960
1544.1500,1.941472e+14,B,A,0.99561494,0.04588754,0.99456691,0.04567029
1544.2000,1.941410e+14,B,A,0.99565285,0.04505919,0.99464227,0.04484813
1544.2500,1.941347e+14,B,A,0.99568975,0.04423797,0.99471563,0.04403293
1544.3000,1.941284e+14,B,A,0.99572567,0.04342370,0.99478703,0.04322450
1544.3500,1.941221e+14,B,A,0.99576063,0.04261618,0.99485654,0.04242268
1544.4000,1.941158e+14,B,A,0.99579465,0.04181525,0.99492420,0.04162727
1544.4500,1.941095e+14,B,A,0.99582777,0.04102073,0.99499005,0.04083812
1544.5000,1.941032e+14,B,A,0.99586000,0.04023243,0.99505414,0.04005506
1544.5500,1.940970e+14,B,A,0.99589137,0.03945021,0.99511651,0.03927794
1544.6000,1.940907e+14,B,A,0.99592189,0.03867390,0.99517720,0.03850658
1544.6500,1.940844e+14,B,A,0.99595158,0.03790333,0.99523624,0.03774084
1544.7000,1.940781e+14,B,A,0.99598047,0.03713835,0.99529369,0.03698057
1544.7500,1.940718e+14,B,A,0.99600857,0.03637882,0.99534957,0.03622562
1544.8000,1.940655e+14,B,A,0.99603590,0.03562458,0.99540393,0.03547585
1544.8500,1.940593e+14,B,A,0.99606248,0.03487548,0.99545678,0.03473112
1544.9000,1.940530e+14,B,A,0.99608832,0.03413140,0.99550817,0.03399129
1544.9500,1.940467e+14,B,A,0.99611344,0.03339218,0.99555813,0.03325622
1545.0000,1.940404e+14,B,A,0.99613785,0.03265770,0.99560669,0.03252579
1545.0500,1.940341e+14,B,A,0.99616157,0.03192782,0.99565388,0.03179986
1545.1000,1.940279e+14,B,A,0.99618462,0.03120240,0.99569972,0.03107831
1545.1500,1.940216e+14,B,A,0.99620700,0.03048134,0.99574425,0.03036102
1545.2000,1.940153e+14,B,A,0.99622874,0.02976449,0.99578748,0.02964786
1545.2500,1.940090e+14,B,A,0.99624984,0.02905174,0.99582945,0.02893872
1545.3000,1.940028e+14,B,A,0.99627031,0.02834297,0.99587017,0.02823348
1545.3500,1.939965e+14,B,A,0.99629017,0.02763805,0.99590968,0.02753202
1545.4000,1.939902e+14,B,A,0.99630943,0.02693689,0.99594799,0.02683423
1545.4500,1.939839e+14,B,A,0.99632810,0.02623935,0.99598513,0.02614000
1545.5000,1.939776e+14,B,A,0.99634618,0.02554534,0.99602111,0.02544923
1545.5500,1.939714e+14,B,A,0.99636370,0.02485473,0.99605596,0.02476180
1545.6000,1.939651e+14,B,A,0.99638066,0.02416743,0.99608970,0.02407762
1545.6500,1.939588e+14,B,A,0.99639706,0.02348333,0.99612234,0.02339657
1545.7000,1.939526e+14,B,A,0.99641293,0.02280232,0.99615390,0.02271856
1545.7500,1.939463e+14,B,A,0.99642826,0.02212431,0.99618440,0.02204349
1545.8000,1.939400e+14,B,A,0.99644307,0.02144919,0.99621386,0.02137126
1545.8500,1.939337e+14,B,A,0.99645735,0.02077686,0.99624229,0.02070177
1545.9000,1.939275e+14,B,A,0.99647113,0.02010723,0.99626970,0.02003493
1545.9500,1.939212e+14,B,A,0.99648441,0.01944020,0.99629612,0.01937064
1546.0000,1.939149e+14,B,A,0.99649719,0.01877568,0.99632155,0.01870881
1546.0500,1.939086e+14,B,A,0.99650948,0.01811357,0.99634601,0.01804936
1546.1000,1.939024e+14,B,A,0.99652130,0.01745378,0.99636951,0.01739218
1546.1500,1.938961e+14,B,A,0.99653263,0.01679622,0.99639207,0.01673719
1546.2000,1.938898e+14,B,A,0.99654350,0.01614080,0.99641369,0.01608431
1546.2500,1.938836e+14,B,A,0.99655390,0.01548743,0.99643438,0.01543344
1546.3000,1.938773e+14,B,A,0.99656384,0.01483603,0.99645417,0.01478450
1546.3500,1.938710e+14,B,A,0.99657333,0.01418650,0.99647305,0.01413741
1546.4000,1.938648e+14,B,A,0.99658237,0.01353876,0.99649103,0.01349208
1546.4500,1.938585e+14,B,A,0.99659096,0.01289274,0.99650813,0.01284843
1546.5000,1.938522e+14,B,A,0.99659912,0.01224834,0.99652436,0.01220637
1546.5500,1.938460e+14,B,A,0.99660683,0.01160547,0.99653972,0.01156583
1546.6000,1.938397e+14,B,A,0.99661412,0.01096407,0.99655422,0.01092673
1546.6500,1.938334e+14,B,A,0.99662098,0.01032404,0.99656787,0.01028898
