wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1546.0000,1.939149e+14,B,A,0.99023934,-0.11313006,0.98390935,-0.11178703
1546.0500,1.939086e+14,B,A,0.99002596,-0.11499231,0.98348750,-0.11359463
1546.1000,1.939024e+14,B,A,0.98980434,-0.11689526,0.98304944,-0.11544011
1546.1500,1.938961e+14,B,A,0.98957404,-0.11884050,0.98259435,-0.11732485
1546.2000,1.938898e+14,B,A,0.98933463,-0.12082967,0.98212137,-0.11925031
1546.2500,1.938836e+14,B,A,0.98908564,-0.12286452,0.98162956,-0.12121801
1546.3000,1.938773e+14,B,A,0.98882654,-0.12494686,0.98111794,-0.12322955
1546.3500,1.938710e+14,B,A,0.98855681,-0.12707863,0.98058546,-0.12528660
1546.4000,1.938648e+14,B,A,0.98827587,-0.12926185,0.98003099,-0.12739092
1546.4500,1.938585e+14,B,A,0.98798309,-0.13149865,0.97945334,-0.12954435
1546.5000,1.938522e+14,B,A,0.98767782,-0.13379130,0.97885123,-0.13174882
1546.5500,1.938460e+14,B,A,0.98735935,-0.13614216,0.97822328,-0.13400637
1546.6000,1.938397e+14,B,A,0.98702693,-0.13855375,0.97756803,-0.13631915
1546.6500,1.938334e+14,B,A,0.98667973,-0.14102873,0.97688390,-0.13868939
1546.7000,1.938272e+14,B,A,0.98631690,-0.14356992,0.97616921,-0.14111947
1546.7500,1.938209e+14,B,A,0.98593749,-0.14618027,0.97542215,-0.14361187
1546.8000,1.938146e+14,B,A,0.98554049,-0.14886296,0.97464076,-0.14616922
1546.8500,1.938084e+14,B,A,0.98512482,-0.15162131,0.97382297,-0.14879428
1546.9000,1.938021e+14,B,A,0.98468931,-0.15445889,0.97296651,-0.15148998
1546.9500,1.937958e+14,B,A,0.98423269,-0.15737947,0.97206895,-0.15425938
1547.0000,1.937896e+14,B,A,0.98375361,-0.16038704,0.97112767,-0.15710574
1547.0500,1.937833e+14,B,A,0.98325058,-0.16348589,0.97013984,-0.16003248
1547.1000,1.937770e+14,B,A,0.98272200,-0.16668055,0.96910239,-0.16304323
1547.1500,1.937708e+14,B,A,0.98216616,-0.16997587,0.96801201,-0.16614182
1547.2000,1.937645e+14,B,A,0.98158115,-0.17337703,0.96686510,-0.16933230
1547.2500,1.937583e+14,B,A,0.98096495,-0.17688956,0.96565777,-0.17261895
1547.3000,1.937520e+14,B,A,0.98031532,-0.18051935,0.96438576,-0.17600631
1547.3500,1.937457e+14,B,A,0.97962983,-0.18427276,0.96304447,-0.17949919
1547.4000,1.937395e+14,B,A,0.97890586,-0.18815655,0.96162887,-0.18310268
1547.4500,1.937332e+14,B,A,0.97814049,-0.19217802,0.96013348,-0.18682216
1547.5000,1.937270e+14,B,A,0.97733056,-0.19634498,0.95855230,-0.19066336
1547.5500,1.937207e+14,B,A,0.97647260,-0.20066584,0.95687877,-0.19463233
1547.6000,1.937144e+14,B,A,0.97556279,-0.20514968,0.95510573,-0.19873551
1547.6500,1.937082e+14,B,A,0.97459695,-0.20980627,0.95322529,-0.20297972
1547.7000,1.937019e+14,B,A,0.97357044,-0.21464615,0.95122878,-0.20737217
1547.7500,1.936957e+14,B,A,0.97247817,-0.21968075,0.94910667,-0.21192055
1547.8000,1.936894e+14,B,A,0.97131450,-0.22492241,0.94684846,-0.21663298
1547.8500,1.936831e+14,B,A,0.97007317,-0.23038455,0.94444253,-0.22151808
1547.9000,1.936769e+14,B,A,0.96874724,-0.23608171,0.94187604,-0.22658497
1547.9500,1.936706e+14,B,A,0.96732901,-0.24202973,0.93913475,-0.23184331
1548.0000,1.936644e+14,B,A,0.96580986,-0.24824585,0.93620288,-0.23730331
1548.0500,1.936581e+14,B,A,0.96418020,-0.25474890,0.93306283,-0.24297574
1548.1000,1.936519e+14,B,A,0.96242927,-0.26155944,0.92969503,-0.24887195
1548.1500,1.936456e+14,B,A,0.96054500,-0.26870000,0.92607760,-0.25500386
1548.2000,1.936394e+14,B,A,0.95851382,-0.27619528,0.92218609,-0.26138395
1548.2500,1.936331e+14,B,A,0.95632045,-0.28407244,0.91799307,-0.26802524
1548.3000,1.936269e+14,B,A,0.95394759,-0.29236137,0.91346775,-0.27494124
1548.3500,1.936206e+14,B,A,0.95137566,-0.30109504,0.90857547,-0.28214583
1548.4000,1.936143e+14,B,A,0.94858241,-0.31030989,0.90327715,-0.28965319
1548.4500,1.936081e+14,B,A,0.94554248,-0.32004629,0.89752864,-0.29747760
1548.5000,1.936018e+14,B,A,0.94222691,-0.33034903,0.89127994,-0.30563316
1548.5500,1.935956e+14,B,A,0.93860254,-0.34126790,0.88447434,-0.31413350
