wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1543.5000,1.942290e+14,B,A,0.99388811,-0.07415230,0.99115688,-0.07363157
1543.5500,1.942227e+14,B,A,0.99377048,-0.07570792,0.99092385,-0.07516445
1543.6000,1.942164e+14,B,A,0.99364808,-0.07729360,0.99068138,-0.07672619
1543.6500,1.942101e+14,B,A,0.99352065,-0.07891055,0.99042899,-0.07831792
1543.7000,1.942038e+14,B,A,0.99338795,-0.08056006,0.99016619,-0.07994086
1543.7500,1.941975e+14,B,A,0.99324969,-0.08224348,0.98989242,-0.08159625
1543.8000,1.941913e+14,B,A,0.99310559,-0.08396223,0.98960712,-0.08328543
1543.8500,1.941850e+14,B,A,0.99295533,-0.08571782,0.98930967,-0.08500977
1543.9000,1.941787e+14,B,A,0.99279858,-0.08751180,0.98899942,-0.08677074
1543.9500,1.941724e+14,B,A,0.99263498,-0.08934586,0.98867567,-0.08856987
1544.0000,1.941661e+14,B,A,0.99246414,-0.09122173,0.98833766,-0.09040879
1544.0500,1.941598e+14,B,A,0.99228567,-0.09314128,0.98798459,-0.09228918
1544.1000,1.941535e+14,B,A,0.99209911,-0.09510645,0.98761561,-0.09421284
1544.1500,1.941472e+14,B,A,0.99190400,-0.09711932,0.98722978,-0.09618168
1544.2000,1.941410e+14,B,A,0.99169983,-0.09918208,0.98682611,-0.09819767
1544.2500,1.941347e+14,B,A,0.99148605,-0.10129705,0.98640354,-0.10026294
1544.3000,1.941284e+14,B,A,0.99126207,-0.10346669,0.98596090,-0.10237971
1544.3500,1.941221e+14,B,A,0.99102726,-0.10569362,0.98549696,-0.10455034
1544.4000,1.941158e+14,B,A,0.99078094,-0.10798060,0.98501039,-0.10677733
1544.4500,1.941095e+14,B,A,0.99052235,-0.11033059,0.98449973,-0.10906333
1544.5000,1.941032e+14,B,A,0.99025070,-0.11274672,0.98396342,-0.11141113
1544.5500,1.940970e+14,B,A,0.98996513,-0.11523235,0.98339977,-0.11382372
1544.6000,1.940907e+14,B,A,0.98966468,-0.11779105,0.98280695,-0.11630425
1544.6500,1.940844e+14,B,A,0.98934834,-0.12042661,0.98218296,-0.11885610
1544.7000,1.940781e+14,B,A,0.98901499,-0.12314312,0.98152564,-0.12148281
1544.7500,1.940718e+14,B,A,0.98866343,-0.12594493,0.98083263,-0.12418822
1544.8000,1.940655e+14,B,A,0.98829232,-0.12883670,0.98010138,-0.12697636
1544.8500,1.940593e+14,B,A,0.98790023,-0.13182345,0.97932908,-0.12985157
1544.9000,1.940530e+14,B,A,0.98748558,-0.13491054,0.97851266,-0.13281845
1544.9500,1.940467e+14,B,A,0.98704663,-0.13810376,0.97764879,-0.13588195
1545.0000,1.940404e+14,B,A,0.98658149,-0.14140932,0.97673378,-0.13904732
1545.0500,1.940341e+14,B,A,0.98608807,-0.14483394,0.97576362,-0.14232023
1545.1000,1.940279e+14,B,A,0.98556407,-0.14838485,0.97473386,-0.14570671
1545.1500,1.940216e+14,B,A,0.98500695,-0.15206989,0.97363962,-0.14921325
1545.2000,1.940153e+14,B,A,0.98441392,-0.15589753,0.97247551,-0.15284681
1545.2500,1.940090e+14,B,A,0.98378186,-0.15987696,0.97123557,-0.15661486
1545.3000,1.940028e+14,B,A,0.98310733,-0.16401816,0.96991319,-0.16052544
1545.3500,1.939965e+14,B,A,0.98238650,-0.16833199,0.96850105,-0.16458722
1545.4000,1.939902e+14,B,A,0.98161509,-0.17283030,0.96699098,-0.16880949
1545.4500,1.939839e+14,B,A,0.98078835,-0.17752600,0.96537389,-0.17320232
1545.5000,1.939776e+14,B,A,0.97990092,-0.18243324,0.96363962,-0.17777653
1545.5500,1.939714e+14,B,A,0.97894682,-0.18756749,0.96177681,-0.18254383
1545.6000,1.939651e+14,B,A,0.97791930,-0.19294579,0.95977267,-0.18751686
1545.6500,1.939588e+14,B,A,0.97681074,-0.19858685,0.95761284,-0.19270927
1545.7000,1.939526e+14,B,A,0.97561254,-0.20451131,0.95528111,-0.19813586
1545.7500,1.939463e+14,B,A,0.97431492,-0.21074199,0.95275915,-0.20381259
1545.8000,1.939400e+14,B,A,0.97290677,-0.21730419,0.95002615,-0.20975675
