wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1541.0000,1.945441e+14,B,A,0.99496642,0.05826395,0.99327809,0.05793788
1541.0500,1.945378e+14,B,A,0.99502184,0.05731065,0.99338821,0.05699414
1541.1000,1.945315e+14,B,A,0.99507576,0.05636780,0.99349534,0.05606053
1541.1500,1.945252e+14,B,A,0.99512822,0.05543511,0.99359957,0.05513679
1541.2000,1.945189e+14,B,A,0.99517927,0.05451231,0.99370100,0.05422266
1541.2500,1.945125e+14,B,A,0.99522894,0.05359913,0.99379970,0.05331787
1541.3000,1.945062e+14,B,A,0.99527727,0.05269532,0.99389575,0.05242219
1541.3500,1.944999e+14,B,A,0.99532431,0.05180063,0.99398923,0.05153537
1541.4000,1.944936e+14,B,A,0.99537008,0.05091481,0.99408021,0.05065718
1541.4500,1.944873e+14,B,A,0.99541464,0.05003762,0.99416876,0.04978739
1541.5000,1.944810e+14,B,A,0.99545800,0.04916883,0.99425495,0.04892579
1541.5500,1.944747e+14,B,A,0.99550021,0.04830823,0.99433885,0.04807215
1541.6000,1.944684e+14,B,A,0.99554130,0.04745560,0.99442051,0.04722628
1541.6500,1.944621e+14,B,A,0.99558128,0.04661071,0.99450000,0.04638795
1541.7000,1.944558e+14,B,A,0.99562021,0.04577338,0.99457738,0.04555699
1541.7500,1.944495e+14,B,A,0.99565809,0.04494339,0.99465269,0.04473319
1541.8000,1.944432e+14,B,A,0.99569497,0.04412055,0.99472600,0.04391636
1541.8500,1.944369e+14,B,A,0.99573086,0.04330468,0.99479736,0.04310633
1541.9000,1.944305e+14,B,A,0.99576579,0.04249558,0.99486681,0.04230291
1541.9500,1.944242e+14,B,A,0.99579979,0.04169308,0.99493441,0.04150593
1542.0000,1.944179e+14,B,A,0.99583287,0.04089700,0.99500019,0.04071522
1542.0500,1.944116e+14,B,A,0.99586507,0.04010716,0.99506421,0.03993061
1542.1000,1.944053e+14,B,A,0.99589640,0.03932341,0.99512650,0.03915195
1542.1500,1.943990e+14,B,A,0.99592687,0.03854558,0.99518711,0.03837907
1542.2000,1.943927e+14,B,A,0.99595653,0.03777350,0.99524608,0.03761182
1542.2500,1.943864e+14,B,A,0.99598537,0.03700703,0.99530344,0.03685004
1542.3000,1.943801e+14,B,A,0.99601342,0.03624600,0.99535923,0.03609360
1542.3500,1.943738e+14,B,A,0.99604071,0.03549028,0.99541348,0.03534234
1542.4000,1.943675e+14,B,A,0.99606723,0.03473971,0.99546624,0.03459613
1542.4500,1.943612e+14,B,A,0.99609302,0.03399416,0.99551753,0.03385482
1542.5000,1.943549e+14,B,A,0.99611809,0.03325348,0.99556739,0.03311829
1542.5500,1.943486e+14,B,A,0.99614245,0.03251754,0.99561584,0.03238639
1542.6000,1.943423e+14,B,A,0.99616611,0.03178621,0.99566291,0.03165901
1542.6500,1.943360e+14,B,A,0.99618910,0.03105935,0.99570864,0.03093601
1542.7000,1.943297e+14,B,A,0.99621143,0.03033683,0.99575304,0.03021726
1542.7500,1.943234e+14,B,A,0.99623310,0.02961854,0.99579616,0.02950265
1542.8000,1.943171e+14,B,A,0.99625413,0.02890434,0.99583800,0.02879206
1542.8500,1.943108e+14,B,A,0.99627454,0.02819413,0.99587860,0.02808537
1542.9000,1.943045e+14,B,A,0.99629434,0.02748777,0.99591797,0.02738246
1542.9500,1.942982e+14,B,A,0.99631353,0.02678516,0.99595615,0.02668323
1543.0000,1.942919e+14,B,A,0.99633213,0.02608618,0.99599315,0.02598755
1543.0500,1.942856e+14,B,A,0.99635015,0.02539072,0.99602900,0.02529533
1543.1000,1.942793e+14,B,A,0.99636759,0.02469866,0.99606370,0.02460645
1543.1500,1.942731e+14,B,A,0.99638448,0.02400991,0.99609730,0.02392080
1543.2000,1.942668e+14,B,A,0.99640081,0.02332435,0.99612979,0.02323830
1543.2500,1.942605e+14,B,A,0.99641660,0.02264189,0.99616120,0.02255882
1543.3000,1.942542e+14,B,A,0.99643185,0.02196241,0.99619155,0.02188228
1543.3500,1.942479e+14,B,A,0.99644658,0.02128582,0.99622085,0.02120858
1543.4000,1.942416e+14,B,A,0.99646079,0.02061201,0.99624912,0.02053761
1543.4500,1.942353e+14,B,A,0.99647449,0.01994090,0.99627637,0.01986928
1543.5000,1.942290e+14,B,A,0.99648768,0.01927238,0.99630263,0.01920350
1543.5500,1.942227e+14,B,A,0.99650038,0.01860635,0.99632789,0.01854017
1543.6000,1.942164e+14,B,A,0.99651258,0.01794274,0.99635218,0.01787920
1543.6500,1.942101e+14,B,A,0.99652431,0.01728143,0.99637551,0.01722051
1543.7000,1.942038e+14,B,A,0.99653556,0.01662234,0.99639789,0.01656399
1543.7500,1.941975e+14,B,A,0.99654633,0.01596539,0.99641933,0.01590957
1543.8000,1.941913e+14,B,A,0.99655664,0.01531047,0.99643984,0.01525716
1543.8500,1.941850e+14,B,A,0.99656649,0.01465751,0.99645944,0.01460666
1543.9000,1.941787e+14,B,A,0.99657588,0.01400641,0.99647813,0.01395800
1543.9500,1.941724e+14,B,A,0.99658483,0.01335710,0.99649593,0.01331108
1544.0000,1.941661e+14,B,A,0.99659332,0.01270947,0.99651283,0.01266584
1544.0500,1.941598e+14,B,A,0.99660138,0.01206346,0.99652886,0.01202217
1544.1000,1.941535e+14,B,A,0.99660900,0.01141898,0.99654402,0.01138001
1544.1500,1.941472e+14,B,A,0.99661618,0.01077594,0.99655832,0.01073927
1544.2000,1.941410e+14,B,A,0.99662293,0.01013426,0.99657175,0.01009986
1544.2500,1.941347e+14,B,A,0.99662926,0.00949386,0.99658434,0.00946172
1544.3000,1.941284e+14,B,A,0.99663516,0.00885467,0.99659609,0.00882476
1544.3500,1.941221e+14,B,A,0.99664065,0.00821659,0.99660700,0.00818889
1544.4000,1.941158e+14,B,A,0.99664571,0.00757955,0.99661708,0.00755406
1544.4500,1.941095e+14,B,A,0.99665036,0.00694348,0.99662633,0.00692016
1544.5000,1.941032e+14,B,A,0.99665460,0.00630828,0.99663477,0.00628714
1544.5500,1.940970e+14,B,A,0.99665842,0.00567390,0.99664238,0.00565491
1544.6000,1.940907e+14,B,A,0.99666184,0.00504023,0.99664918,0.00502339
1544.6500,1.940844e+14,B,A,0.99666485,0.00440722,0.99665517,0.00439251
1544.7000,1.940781e+14,B,A,0.99666745,0.00377478,0.99666035,0.00376220
1544.7500,1.940718e+14,B,A,0.99666965,0.00314284,0.99666473,0.00313237
