wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1548.5000,1.936018e+14,B,A,0.99018525,-0.11360506,0.98380239,-0.11224824
1548.5500,1.935956e+14,B,A,0.98997049,-0.11547155,0.98337784,-0.11405956
1548.6000,1.935893e+14,B,A,0.98974743,-0.11737888,0.98293699,-0.11590886
1548.6500,1.935831e+14,B,A,0.98951566,-0.11932863,0.98247900,-0.11779752
1548.7000,1.935768e+14,B,A,0.98927471,-0.12132244,0.98200301,-0.11972701
1548.7500,1.935706e+14,B,A,0.98902412,-0.12336207,0.98150808,-0.12169885
1548.8000,1.935643e+14,B,A,0.98876337,-0.12544935,0.98099322,-0.12371463
1548.8500,1.935581e+14,B,A,0.98849192,-0.12758620,0.98045737,-0.12577605
1548.9000,1.935518e+14,B,A,0.98820918,-0.12977466,0.97989941,-0.12788485
1548.9500,1.935456e+14,B,A,0.98791455,-0.13201688,0.97931813,-0.13004288
1549.0000,1.935394e+14,B,A,0.98760734,-0.13431510,0.97871224,-0.13225209
1549.0500,1.935331e+14,B,A,0.98728685,-0.13667171,0.97808035,-0.13451450
1549.1000,1.935269e+14,B,A,0.98695233,-0.13908924,0.97742101,-0.13683226
1549.1500,1.935206e+14,B,A,0.98660294,-0.14157035,0.97673261,-0.13920763
1549.2000,1.935144e+14,B,A,0.98623782,-0.14411785,0.97601348,-0.14164297
1549.2500,1.935081e+14,B,A,0.98585602,-0.14673474,0.97526178,-0.14414077
1549.3000,1.935019e+14,B,A,0.98545653,-0.14942417,0.97447556,-0.14670367
1549.3500,1.934956e+14,B,A,0.98503826,-0.15218949,0.97365271,-0.14933444
1549.4000,1.934894e+14,B,A,0.98460002,-0.15503427,0.97279097,-0.15203599
1549.4500,1.934831e+14,B,A,0.98414056,-0.15796228,0.97188789,-0.15481140
1549.5000,1.934769e+14,B,A,0.98365849,-0.16097755,0.97094084,-0.15766393
1549.5500,1.934707e+14,B,A,0.98315233,-0.16408435,0.96994696,-0.16059700
1549.6000,1.934644e+14,B,A,0.98262048,-0.16728725,0.96890318,-0.16361425
1549.6500,1.934582e+14,B,A,0.98206119,-0.17059109,0.96780617,-0.16671951
1549.7000,1.934519e+14,B,A,0.98147257,-0.17400106,0.96665231,-0.16991682
1549.7500,1.934457e+14,B,A,0.98085257,-0.17752272,0.96543767,-0.17321049
1549.8000,1.934394e+14,B,A,0.98019894,-0.18116198,0.96415799,-0.17660505
1549.8500,1.934332e+14,B,A,0.97950926,-0.18492518,0.96280864,-0.18010530
1549.9000,1.934270e+14,B,A,0.97878085,-0.18881914,0.96138456,-0.18371634
1549.9500,1.934207e+14,B,A,0.97801081,-0.19285114,0.95988023,-0.18744356
1550.0000,1.934145e+14,B,A,0.97719596,-0.19702904,0.95828965,-0.19129267
1550.0500,1.934083e+14,B,A,0.97633279,-0.20136125,0.95660621,-0.19526975
1550.1000,1.934020e+14,B,A,0.97541749,-0.20585688,0.95482271,-0.19938121
1550.1500,1.933958e+14,B,A,0.97444582,-0.21052570,0.95293122,-0.20363387
1550.2000,1.933895e+14,B,A,0.97341315,-0.21537831,0.95092303,-0.20803495
1550.2500,1.933833e+14,B,A,0.97231434,-0.22042613,0.94878858,-0.21259212
1550.3000,1.933771e+14,B,A,0.97114373,-0.22568155,0.94651729,-0.21731350
1550.3500,1.933708e+14,B,A,0.96989502,-0.23115800,0.94409751,-0.22220768
1550.4000,1.933646e+14,B,A,0.96856126,-0.23687007,0.94151633,-0.22728379
1550.4500,1.933584e+14,B,A,0.96713468,-0.24283361,0.93875945,-0.23255146
1550.5000,1.933521e+14,B,A,0.96560663,-0.24906590,0.93581101,-0.23802086
1550.5500,1.933459e+14,B,A,0.96396748,-0.25558580,0.93265334,-0.24370276
1550.6000,1.933396e+14,B,A,0.96220640,-0.26241391,0.92926679,-0.24960844
1550.6500,1.933334e+14,B,A,0.96031128,-0.26957280,0.92562940,-0.25574980
1550.7000,1.933272e+14,B,A,0.95826848,-0.27708722,0.92171660,-0.26213927
1550.7500,1.933209e+14,B,A,0.95606265,-0.28498435,0.91750087,-0.26878978
1550.8000,1.933147e+14,B,A,0.95367642,-0.29329414,0.91295130,-0.27571477
1550.8500,1.933085e+14,B,A,0.95109011,-0.30204959,0.90803311,-0.28292803
1550.9000,1.933022e+14,B,A,0.94828138,-0.31128720,0.90270708,-0.29044363
1550.9500,1.932960e+14,B,A,0.94522477,-0.32104737,0.89692892,-0.29827569
1551.0000,1.932898e+14,B,A,0.94189121,-0.33137494,0.89064848,-0.30643815
1551.0500,1.932836e+14,B,A,0.93824740,-0.34231974,0.88380890,-0.31494445
1551.1000,1.932773e+14,B,A,0.93425507,-0.35393732,0.87634559,-0.32380697
1551.1500,1.932711e+14,B,A,0.92987014,-0.36628968,0.86818500,-0.33303645
1551.2000,1.932649e+14,B,A,0.92504166,-0.37944620,0.85924336,-0.34264109
1551.2500,1.932586e+14,B,A,0.91971056,-0.39348462,0.84942503,-0.35262536
1551.3000,1.932524e+14,B,A,0.91380819,-0.40849228,0.83862075,-0.36298848
1551.3500,1.932462e+14,B,A,0.90725445,-0.42456747,0.82670567,-0.37372233
1551.4000,1.932399e+14,B,A,0.89995571,-0.44182094,0.81353707,-0.38480869
1551.4500,1.932337e+14,B,A,0.89180216,-0.46037770,0.79895196,-0.39621567
1551.5000,1.932275e+14,B,A,0.88266470,-0.48037900,0.78276457,-0.40789287
