wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1546.0000,1.939149e+14,B,A,0.99181695,-0.09818612,0.98703998,-0.09722626
1546.0500,1.939086e+14,B,A,0.99164417,-0.09991971,0.98669803,-0.09892000
1546.1000,1.939024e+14,B,A,0.99146463,-0.10168995,0.98634275,-0.10064831
1546.1500,1.938961e+14,B,A,0.99127798,-0.10349828,0.98597348,-0.10241250
1546.2000,1.938898e+14,B,A,0.99108385,-0.10534621,0.98558950,-0.10421391
1546.2500,1.938836e+14,B,A,0.99088186,-0.10723531,0.98519004,-0.10605399
1546.3000,1.938773e+14,B,A,0.99067159,-0.10916727,0.98477429,-0.10793423
1546.3500,1.938710e+14,B,A,0.99045259,-0.11114384,0.98434138,-0.10985620
1546.4000,1.938648e+14,B,A,0.99022439,-0.11316686,0.98389039,-0.11182155
1546.4500,1.938585e+14,B,A,0.98998649,-0.11523830,0.98342032,-0.11383202
1546.5000,1.938522e+14,B,A,0.98973833,-0.11736021,0.98293011,-0.11588944
1546.5500,1.938460e+14,B,A,0.98947934,-0.11953476,0.98241864,-0.11799571
1546.6000,1.938397e+14,B,A,0.98920890,-0.12176426,0.98188468,-0.12015287
1546.6500,1.938334e+14,B,A,0.98892632,-0.12405113,0.98132694,-0.12236303
1546.7000,1.938272e+14,B,A,0.98863090,-0.12639795,0.98074401,-0.12462845
1546.7500,1.938209e+14,B,A,0.98832186,-0.12880744,0.98013439,-0.12695148
1546.8000,1.938146e+14,B,A,0.98799837,-0.13128248,0.97949647,-0.12933461
1546.8500,1.938084e+14,B,A,0.98765953,-0.13382615,0.97882851,-0.13178049
1546.9000,1.938021e+14,B,A,0.98730438,-0.13644169,0.97812863,-0.13429190
1546.9500,1.937958e+14,B,A,0.98693186,-0.13913256,0.97739482,-0.13687176
1547.0000,1.937896e+14,B,A,0.98654086,-0.14190244,0.97662488,-0.13952320
1547.0500,1.937833e+14,B,A,0.98613015,-0.14475524,0.97581645,-0.14224951
1547.1000,1.937770e+14,B,A,0.98569841,-0.14769515,0.97496699,-0.14505416
1547.1500,1.937708e+14,B,A,0.98524419,-0.15072661,0.97407372,-0.14794087
1547.2000,1.937645e+14,B,A,0.98476594,-0.15385439,0.97313363,-0.15091353
1547.2500,1.937583e+14,B,A,0.98426196,-0.15708356,0.97214346,-0.15397631
1547.3000,1.937520e+14,B,A,0.98373040,-0.16041958,0.97109965,-0.15713363
1547.3500,1.937457e+14,B,A,0.98316924,-0.16386827,0.96999833,-0.16039016
1547.4000,1.937395e+14,B,A,0.98257629,-0.16743589,0.96883528,-0.16375090
1547.4500,1.937332e+14,B,A,0.98194911,-0.17112916,0.96760588,-0.16722115
1547.5000,1.937270e+14,B,A,0.98128508,-0.17495531,0.96630510,-0.17080654
1547.5500,1.937207e+14,B,A,0.98058129,-0.17892213,0.96492738,-0.17451308
1547.6000,1.937144e+14,B,A,0.97983455,-0.18303799,0.96346668,-0.17834719
1547.6500,1.937082e+14,B,A,0.97904135,-0.18731196,0.96191630,-0.18231566
1547.7000,1.937019e+14,B,A,0.97819781,-0.19175384,0.96026891,-0.18642580
1547.7500,1.936957e+14,B,A,0.97729965,-0.19637421,0.95851641,-0.19068535
1547.8000,1.936894e+14,B,A,0.97634212,-0.20118458,0.95664983,-0.19510260
1547.8500,1.936831e+14,B,A,0.97531995,-0.20619743,0.95465928,-0.19968639
1547.9000,1.936769e+14,B,A,0.97422729,-0.21142634,0.95253377,-0.20444617
1547.9500,1.936706e+14,B,A,0.97305762,-0.21688610,0.95026109,-0.20939200
1548.0000,1.936644e+14,B,A,0.97180366,-0.22259284,0.94782764,-0.21453463
1548.0500,1.936581e+14,B,A,0.97045724,-0.22856423,0.94521828,-0.21988555
1548.1000,1.936519e+14,B,A,0.96900922,-0.23481959,0.94241605,-0.22545698
1548.1500,1.936456e+14,B,A,0.96744931,-0.24138012,0.93940198,-0.23126195
1548.2000,1.936394e+14,B,A,0.96576591,-0.24826915,0.93615475,-0.23731432
1548.2500,1.936331e+14,B,A,0.96394591,-0.25551236,0.93265038,-0.24362881
