wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1541.0000,1.945441e+14,B,A,0.99438554,0.06735887,0.99213052,0.06693004
1541.0500,1.945378e+14,B,A,0.99446474,0.06618091,0.99228770,0.06576655
1541.1000,1.945315e+14,B,A,0.99454148,0.06501945,0.99243999,0.06461899
1541.1500,1.945252e+14,B,A,0.99461582,0.06387398,0.99258755,0.06348688
1541.2000,1.945189e+14,B,A,0.99468787,0.06274401,0.99273056,0.06236976
1541.2500,1.945125e+14,B,A,0.99475770,0.06162906,0.99286918,0.06126718
1541.3000,1.945062e+14,B,A,0.99482539,0.06052866,0.99300357,0.06017869
1541.3500,1.944999e+14,B,A,0.99489102,0.05944239,0.99313387,0.05910387
1541.4000,1.944936e+14,B,A,0.99495466,0.05836980,0.99326022,0.05804233
1541.4500,1.944873e+14,B,A,0.99501638,0.05731048,0.99338276,0.05699366
1541.5000,1.944810e+14,B,A,0.99507623,0.05626404,0.99350162,0.05595748
1541.5500,1.944747e+14,B,A,0.99513429,0.05523009,0.99361692,0.05493342
1541.6000,1.944684e+14,B,A,0.99519062,0.05420826,0.99372877,0.05392114
1541.6500,1.944621e+14,B,A,0.99524526,0.05319819,0.99383729,0.05292027
1541.7000,1.944558e+14,B,A,0.99529827,0.05219951,0.99394259,0.05193050
1541.7500,1.944495e+14,B,A,0.99534971,0.05121191,0.99404477,0.05095148
1541.8000,1.944432e+14,B,A,0.99539963,0.05023505,0.99414392,0.04998292
1541.8500,1.944369e+14,B,A,0.99544806,0.04926861,0.99424013,0.04902451
1541.9000,1.944305e+14,B,A,0.99549507,0.04831229,0.99433351,0.04807594
1541.9500,1.944242e+14,B,A,0.99554068,0.04736579,0.99442414,0.04713694
1542.0000,1.944179e+14,B,A,0.99558495,0.04642881,0.99451209,0.04620722
1542.0500,1.944116e+14,B,A,0.99562791,0.04550109,0.99459744,0.04528652
1542.1000,1.944053e+14,B,A,0.99566960,0.04458234,0.99468028,0.04437458
1542.1500,1.943990e+14,B,A,0.99571006,0.04367230,0.99476067,0.04347113
1542.2000,1.943927e+14,B,A,0.99574932,0.04277072,0.99483868,0.04257593
1542.2500,1.943864e+14,B,A,0.99578741,0.04187735,0.99491438,0.04168875
1542.3000,1.943801e+14,B,A,0.99582438,0.04099193,0.99498783,0.04080933
1542.3500,1.943738e+14,B,A,0.99586024,0.04011425,0.99505910,0.03993747
1542.4000,1.943675e+14,B,A,0.99589503,0.03924406,0.99512824,0.03907293
1542.4500,1.943612e+14,B,A,0.99592877,0.03838114,0.99519530,0.03821550
1542.5000,1.943549e+14,B,A,0.99596150,0.03752528,0.99526035,0.03736497
1542.5500,1.943486e+14,B,A,0.99599324,0.03667627,0.99532343,0.03652113
1542.6000,1.943423e+14,B,A,0.99602401,0.03583389,0.99538459,0.03568378
1542.6500,1.943360e+14,B,A,0.99605384,0.03499795,0.99544389,0.03485273
1542.7000,1.943297e+14,B,A,0.99608275,0.03416825,0.99550136,0.03402778
1542.7500,1.943234e+14,B,A,0.99611076,0.03334459,0.99555705,0.03320875
1542.8000,1.943171e+14,B,A,0.99613790,0.03252680,0.99561100,0.03239547
1542.8500,1.943108e+14,B,A,0.99616419,0.03171468,0.99566325,0.03158774
1542.9000,1.943045e+14,B,A,0.99618964,0.03090807,0.99571384,0.03078539
1542.9500,1.942982e+14,B,A,0.99621427,0.03010678,0.99576281,0.02998827
1543.0000,1.942919e+14,B,A,0.99623810,0.02931064,0.99581019,0.02919619
1543.0500,1.942856e+14,B,A,0.99626115,0.02851949,0.99585602,0.02840900
1543.1000,1.942793e+14,B,A,0.99628344,0.02773316,0.99590033,0.02762654
1543.1500,1.942731e+14,B,A,0.99630498,0.02695149,0.99594315,0.02684866
1543.2000,1.942668e+14,B,A,0.99632578,0.02617434,0.99598451,0.02607519
1543.2500,1.942605e+14,B,A,0.99634586,0.02540153,0.99602444,0.02530599
1543.3000,1.942542e+14,B,A,0.99636524,0.02463293,0.99606296,0.02454091
1543.3500,1.942479e+14,B,A,0.99638392,0.02386839,0.99610011,0.02377982
1543.4000,1.942416e+14,B,A,0.99640192,0.02310775,0.99613591,0.02302256
1543.4500,1.942353e+14,B,A,0.99641926,0.02235088,0.99617038,0.02226900
1543.5000,1.942290e+14,B,A,0.99643594,0.02159764,0.99620355,0.02151900
1543.5500,1.942227e+14,B,A,0.99645197,0.02084790,0.99623543,0.02077242
