wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1543.5000,1.942290e+14,B,A,0.99372515,0.07638847,0.99082727,0.07583534
1543.5500,1.942227e+14,B,A,0.99383490,0.07494953,0.99104481,0.07441774
1543.6000,1.942164e+14,B,A,0.99394072,0.07353554,0.99125457,0.07302412
1543.6500,1.942101e+14,B,A,0.99404277,0.07214561,0.99145690,0.07165363
1543.7000,1.942038e+14,B,A,0.99414123,0.07077889,0.99165212,0.07030548
1543.7500,1.941975e+14,B,A,0.99423624,0.06943457,0.99184052,0.06897891
1543.8000,1.941913e+14,B,A,0.99432795,0.06811186,0.99202238,0.06767317
1543.8500,1.941850e+14,B,A,0.99441649,0.06681003,0.99219798,0.06638758
1543.9000,1.941787e+14,B,A,0.99450199,0.06552834,0.99236757,0.06512144
1543.9500,1.941724e+14,B,A,0.99458458,0.06426613,0.99253140,0.06387411
1544.0000,1.941661e+14,B,A,0.99466436,0.06302272,0.99268968,0.06264496
1544.0500,1.941598e+14,B,A,0.99474146,0.06179748,0.99284264,0.06143340
1544.1000,1.941535e+14,B,A,0.99481598,0.06058981,0.99299049,0.06023884
1544.1500,1.941472e+14,B,A,0.99488801,0.05939912,0.99313341,0.05906073
1544.2000,1.941410e+14,B,A,0.99495764,0.05822484,0.99327160,0.05789853
1544.2500,1.941347e+14,B,A,0.99502498,0.05706644,0.99340523,0.05675172
1544.3000,1.941284e+14,B,A,0.99509010,0.05592339,0.99353447,0.05561981
1544.3500,1.941221e+14,B,A,0.99515308,0.05479518,0.99365947,0.05450231
1544.4000,1.941158e+14,B,A,0.99521400,0.05368134,0.99378039,0.05339876
1544.4500,1.941095e+14,B,A,0.99527293,0.05258139,0.99389738,0.05230872
1544.5000,1.941032e+14,B,A,0.99532995,0.05149489,0.99401057,0.05123176
1544.5500,1.940970e+14,B,A,0.99538512,0.05042139,0.99412009,0.05016744
1544.6000,1.940907e+14,B,A,0.99543850,0.04936049,0.99422607,0.04911538
1544.6500,1.940844e+14,B,A,0.99549015,0.04831176,0.99432862,0.04807518
1544.7000,1.940781e+14,B,A,0.99554013,0.04727483,0.99442786,0.04704646
1544.7500,1.940718e+14,B,A,0.99558849,0.04624930,0.99452390,0.04602886
1544.8000,1.940655e+14,B,A,0.99563530,0.04523482,0.99461684,0.04502202
1544.8500,1.940593e+14,B,A,0.99568058,0.04423102,0.99470678,0.04402561
1544.9000,1.940530e+14,B,A,0.99572440,0.04323756,0.99479380,0.04303928
1544.9500,1.940467e+14,B,A,0.99576680,0.04225411,0.99487801,0.04206272
1545.0000,1.940404e+14,B,A,0.99580783,0.04128034,0.99495949,0.04109561
1545.0500,1.940341e+14,B,A,0.99584751,0.04031594,0.99503831,0.04013765
1545.1000,1.940279e+14,B,A,0.99588590,0.03936061,0.99511456,0.03918855
1545.1500,1.940216e+14,B,A,0.99592303,0.03841405,0.99518831,0.03824802
1545.2000,1.940153e+14,B,A,0.99595893,0.03747596,0.99525963,0.03731579
1545.2500,1.940090e+14,B,A,0.99599364,0.03654609,0.99532859,0.03639157
1545.3000,1.940028e+14,B,A,0.99602720,0.03562414,0.99539525,0.03547511
1545.3500,1.939965e+14,B,A,0.99605963,0.03470986,0.99545968,0.03456615
1545.4000,1.939902e+14,B,A,0.99609097,0.03380299,0.99552194,0.03366445
1545.4500,1.939839e+14,B,A,0.99612124,0.03290329,0.99558207,0.03276975
1545.5000,1.939776e+14,B,A,0.99615047,0.03201050,0.99564015,0.03188183
1545.5500,1.939714e+14,B,A,0.99617869,0.03112439,0.99569621,0.03100045
1545.6000,1.939651e+14,B,A,0.99620591,0.03024473,0.99575031,0.03012539
1545.6500,1.939588e+14,B,A,0.99623218,0.02937130,0.99580250,0.02925642
1545.7000,1.939526e+14,B,A,0.99625750,0.02850386,0.99585281,0.02839334
1545.7500,1.939463e+14,B,A,0.99628190,0.02764222,0.99590130,0.02753593
1545.8000,1.939400e+14,B,A,0.99630540,0.02678615,0.99594800,0.02668399
1545.8500,1.939337e+14,B,A,0.99632802,0.02593545,0.99599295,0.02583732
