wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1546.0000,1.939149e+14,B,A,0.99451694,0.06539313,0.99239129,0.06498823
1546.0500,1.939086e+14,B,A,0.99459157,0.06424980,0.99253943,0.06385835
1546.1000,1.939024e+14,B,A,0.99466392,0.06312193,0.99268302,0.06274342
1546.1500,1.938961e+14,B,A,0.99473404,0.06200905,0.99282222,0.06164299
1546.2000,1.938898e+14,B,A,0.99480203,0.06091070,0.99295719,0.06055663
1546.2500,1.938836e+14,B,A,0.99486796,0.05982643,0.99308807,0.05948390
1546.3000,1.938773e+14,B,A,0.99493189,0.05875583,0.99321501,0.05842442
1546.3500,1.938710e+14,B,A,0.99499390,0.05769849,0.99333814,0.05737779
1546.4000,1.938648e+14,B,A,0.99505406,0.05665399,0.99345758,0.05634364
1546.4500,1.938585e+14,B,A,0.99511241,0.05562198,0.99357347,0.05532158
1546.5000,1.938522e+14,B,A,0.99516903,0.05460206,0.99368591,0.05431128
1546.5500,1.938460e+14,B,A,0.99522397,0.05359388,0.99379502,0.05331239
1546.6000,1.938397e+14,B,A,0.99527729,0.05259711,0.99390091,0.05232457
1546.6500,1.938334e+14,B,A,0.99532902,0.05161139,0.99400367,0.05134751
1546.7000,1.938272e+14,B,A,0.99537923,0.05063641,0.99410341,0.05038089
1546.7500,1.938209e+14,B,A,0.99542797,0.04967185,0.99420022,0.04942441
1546.8000,1.938146e+14,B,A,0.99547527,0.04871740,0.99429418,0.04847778
1546.8500,1.938084e+14,B,A,0.99552118,0.04777277,0.99438539,0.04754071
1546.9000,1.938021e+14,B,A,0.99556574,0.04683767,0.99447392,0.04661293
1546.9500,1.937958e+14,B,A,0.99560900,0.04591182,0.99455986,0.04569416
1547.0000,1.937896e+14,B,A,0.99565098,0.04499495,0.99464328,0.04478415
1547.0500,1.937833e+14,B,A,0.99569174,0.04408681,0.99472426,0.04388265
1547.1000,1.937770e+14,B,A,0.99573129,0.04318712,0.99480285,0.04298940
1547.1500,1.937708e+14,B,A,0.99576968,0.04229565,0.99487913,0.04210417
1547.2000,1.937645e+14,B,A,0.99580693,0.04141216,0.99495317,0.04122673
1547.2500,1.937583e+14,B,A,0.99584309,0.04053640,0.99502501,0.04035684
1547.3000,1.937520e+14,B,A,0.99587817,0.03966815,0.99509473,0.03949429
1547.3500,1.937457e+14,B,A,0.99591220,0.03880720,0.99516238,0.03863886
1547.4000,1.937395e+14,B,A,0.99594522,0.03795331,0.99522800,0.03779035
1547.4500,1.937332e+14,B,A,0.99597725,0.03710629,0.99529166,0.03694854
1547.5000,1.937270e+14,B,A,0.99600831,0.03626593,0.99535340,0.03611325
1547.5500,1.937207e+14,B,A,0.99603844,0.03543202,0.99541327,0.03528427
1547.6000,1.937144e+14,B,A,0.99606764,0.03460437,0.99547132,0.03446141
