wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1549.8000,1.934394e+14,D,C,0.98815873,-0.12986197,0.97983822,-0.12796387
1549.8500,1.934332e+14,D,C,0.98776164,-0.13286319,0.97905616,-0.13085139
1549.9000,1.934270e+14,D,C,0.98734171,-0.13596537,0.97822947,-0.13383104
1549.9500,1.934207e+14,D,C,0.98689719,-0.13917431,0.97735476,-0.13690777
1550.0000,1.934145e+14,D,C,0.98642615,-0.14249628,0.97642830,-0.14008685
1550.0500,1.934083e+14,D,C,0.98592650,-0.14593802,0.97544603,-0.14337396
1550.1000,1.934020e+14,D,C,0.98539589,-0.14950679,0.97440346,-0.14677516
1550.1500,1.933958e+14,D,C,0.98483177,-0.15321049,0.97329566,-0.15029694
1550.2000,1.933895e+14,D,C,0.98423129,-0.15705762,0.97211716,-0.15394629
1550.2500,1.933833e+14,D,C,0.98359132,-0.16105742,0.97086195,-0.15773070
1550.3000,1.933771e+14,D,C,0.98290838,-0.16521993,0.96952334,-0.16165822
1550.3500,1.933708e+14,D,C,0.98217858,-0.16955606,0.96809392,-0.16573752
1550.4000,1.933646e+14,D,C,0.98139761,-0.17407772,0.96656545,-0.16997794
1550.4500,1.933584e+14,D,C,0.98056064,-0.17879788,0.96492874,-0.17438952
1550.5000,1.933521e+14,D,C,0.97966228,-0.18373076,0.96317351,-0.17898313
1550.5500,1.933459e+14,D,C,0.97869645,-0.18889193,0.96128828,-0.18377046
1550.6000,1.933396e+14,D,C,0.97765635,-0.19429846,0.95926014,-0.18876417
1550.6500,1.933334e+14,D,C,0.97653427,-0.19996919,0.95707458,-0.19397792
1550.7000,1.933272e+14,D,C,0.97532152,-0.20592483,0.95471522,-0.19942647
1550.7500,1.933209e+14,D,C,0.97400821,-0.21218833,0.95216354,-0.20512579
1550.8000,1.933147e+14,D,C,0.97258311,-0.21878507,0.94939854,-0.21109315
1550.8500,1.933085e+14,D,C,0.97103338,-0.22574325,0.94639634,-0.21734719
1550.9000,1.933022e+14,D,C,0.96934433,-0.23309426,0.94312969,-0.22390808
1550.9500,1.932960e+14,D,C,0.96749908,-0.24087315,0.93956743,-0.23079755
1551.0000,1.932898e+14,D,C,0.96547813,-0.24911915,0.93567380,-0.23803901
1551.0500,1.932836e+14,D,C,0.96325895,-0.25787627,0.93140761,-0.24565764
1551.1000,1.932773e+14,D,C,0.96081532,-0.26719409,0.92672130,-0.25368036
1551.1500,1.932711e+14,D,C,0.95811666,-0.27712859,0.92155973,-0.26213586
1551.2000,1.932649e+14,D,C,0.95512714,-0.28774318,0.91585879,-0.27105449
1551.2500,1.932586e+14,D,C,0.95180456,-0.29910993,0.90954362,-0.28046804
1551.3000,1.932524e+14,D,C,0.94809904,-0.31131107,0.90252658,-0.29040933
1551.3500,1.932462e+14,D,C,0.94395133,-0.32444068,0.89470461,-0.30091157
1551.4000,1.932399e+14,D,C,0.93929064,-0.33860682,0.88595617,-0.31200731
1551.4500,1.932337e+14,D,C,0.93403206,-0.35393408,0.87613744,-0.32372684
1551.5000,1.932275e+14,D,C,0.92807313,-0.37056659,0.86507767,-0.33609577
1551.5500,1.932213e+14,D,C,0.92128962,-0.38867172,0.85257361,-0.34913149
1551.6000,1.932150e+14,D,C,0.91353002,-0.40844450,0.83838281,-0.36283792
1551.6500,1.932088e+14,D,C,0.90460865,-0.43011291,0.82221570,-0.37719777
1551.7000,1.932026e+14,D,C,0.89429677,-0.45394427,0.80372640,-0.39216143
1551.7500,1.931964e+14,D,C,0.88231122,-0.48025275,0.78250257,-0.40763074
1551.8000,1.931901e+14,D,C,0.86830008,-0.50940806,0.75805490,-0.42343569
1551.8500,1.931839e+14,D,C,0.85182462,-0.54184534,0.72980795,-0.43930119
1551.9000,1.931777e+14,D,C,0.83233709,-0.57807564,0.69709537,-0.45480003
1551.9500,1.931715e+14,D,C,0.80915423,-0.61869612,0.65916565,-0.46928798
1552.0000,1.931652e+14,D,C,0.78142776,-0.66439759,0.61520898,-0.48181662
1552.0500,1.931590e+14,D,C,0.74811517,-0.71596535,0.56442296,-0.49102243
1552.1000,1.931528e+14,D,C,0.70795932,-0.77426559,0.50614470,-0.49499893
1552.1500,1.931466e+14,D,C,0.65949301,-0.84020463,0.44008657,-0.49117700
1552.2000,1.931404e+14,D,C,0.60109736,-0.91464027,0.36671486,-0.47627539
1552.2500,1.931341e+14,D,C,0.53115645,-0.99821240,0.28778356,-0.44643901
1552.3000,1.931279e+14,D,C,0.44835699,-1.09103695,0.20694622,-0.39774018
1552.3500,1.931217e+14,D,C,0.35215656,-1.19212054,0.13018890,-0.32720803
1552.4000,1.931155e+14,D,C,0.24335906,-1.29781421,0.06561065,-0.23434776
1552.4500,1.931093e+14,D,C,0.12460599,-1.39284543,0.02205690,-0.12263827
