wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1553.0000,1.930409e+14,D,C,0.58745349,-0.93212798,0.35019677,-0.47166071
1553.0500,1.930346e+14,D,C,0.52147460,-1.01027341,0.27723111,-0.44167711
1553.1000,1.930284e+14,D,C,0.44458944,-1.09622501,0.20315833,-0.39545728
1553.1500,1.930222e+14,D,C,0.35644072,-1.18919292,0.13274174,-0.33080147
1553.2000,1.930160e+14,D,C,0.25763793,-1.28661229,0.07223506,-0.24730426
1553.2500,1.930098e+14,D,C,0.15007642,-1.37972817,0.02850067,-0.14734532
1553.3000,1.930036e+14,D,C,0.03724462,-1.37015616,0.00742273,-0.03649746
1553.3500,1.929974e+14,D,C,0.07812258,1.41495116,0.01212580,0.07717579
1553.4000,1.929912e+14,D,C,0.18960266,1.34802159,0.04189017,0.18491723
1553.4500,1.929849e+14,D,C,0.29429244,1.25138376,0.09241045,0.27940714
1553.5000,1.929787e+14,D,C,0.38937461,1.15510804,0.15723714,0.35621492
1553.5500,1.929725e+14,D,C,0.47344841,1.06453701,0.22957948,0.41406118
1553.6000,1.929663e+14,D,C,0.54629877,0.98140018,0.30366518,0.45412533
1553.6500,1.929601e+14,D,C,0.60853933,0.90612720,0.37534628,0.47899403
1553.7000,1.929539e+14,D,C,0.66124661,0.83851116,0.44209014,0.49173508
1553.7500,1.929477e+14,D,C,0.70567449,0.77802368,0.50265339,0.49529391
1553.8000,1.929415e+14,D,C,0.74307018,0.72399616,0.55668197,0.49219760
1553.8500,1.929353e+14,D,C,0.77457535,0.67572592,0.60436484,0.48446891
1553.9000,1.929291e+14,D,C,0.80118529,0.63253524,0.64618101,0.47365386
1553.9500,1.929228e+14,D,C,0.82374224,0.59380074,0.68273412,0.46089629
1554.0000,1.929166e+14,D,C,0.84294614,0.55896500,0.71465348,0.44702193
1554.0500,1.929104e+14,D,C,0.85937260,0.52753815,0.74254004,0.43261479
1554.1000,1.929042e+14,D,C,0.87349234,0.49909410,0.76694070,0.41807994
1554.1500,1.928980e+14,D,C,0.88568951,0.47326450,0.78833903,0.40369231
1554.2000,1.928918e+14,D,C,0.89627766,0.44973182,0.80715514,0.38963344
1554.2500,1.928856e+14,D,C,0.90551316,0.42822268,0.82375005,0.37601852
1554.3000,1.928794e+14,D,C,0.91360625,0.40850154,0.83843207,0.36291603
1554.3500,1.928732e+14,D,C,0.92072993,0.39036524,0.85146354,0.35036187
1554.4000,1.928670e+14,D,C,0.92702714,0.37363818,0.86306742,0.33836954
1554.4500,1.928608e+14,D,C,0.93261647,0.35816817,0.87343315,0.32693732
1554.5000,1.928546e+14,D,C,0.93759679,0.34382303,0.88272192,0.31605340
1554.5500,1.928484e+14,D,C,0.94205083,0.33048752,0.89107105,0.30569945
1554.6000,1.928422e+14,D,C,0.94604820,0.31806095,0.89859782,0.29585326
1554.6500,1.928360e+14,D,C,0.94964766,0.30645503,0.90540263,0.28649040
1554.7000,1.928298e+14,D,C,0.95289907,0.29559211,0.91157167,0.27758553
1554.7500,1.928236e+14,D,C,0.95584491,0.28540370,0.91717914,0.26911321
1554.8000,1.928174e+14,D,C,0.95852150,0.27582921,0.92228910,0.26104844
1554.8500,1.928112e+14,D,C,0.96096004,0.26681488,0.92695703,0.25336707
1554.9000,1.928050e+14,D,C,0.96318743,0.25831286,0.93123111,0.24604599
1554.9500,1.927988e+14,D,C,0.96522692,0.25028046,0.93515334,0.23906324
1555.0000,1.927926e+14,D,C,0.96709872,0.24267949,0.93876037,0.23239814
1555.0500,1.927864e+14,D,C,0.96882043,0.23547570,0.94208434,0.22603122
1555.1000,1.927802e+14,D,C,0.97040743,0.22863828,0.94515348,0.21994425
1555.1500,1.927740e+14,D,C,0.97187322,0.22213946,0.94799266,0.21412021
1555.2000,1.927678e+14,D,C,0.97322965,0.21595416,0.95062384,0.20854318
1555.2500,1.927616e+14,D,C,0.97448719,0.21005966,0.95306648,0.20319836
1555.3000,1.927554e+14,D,C,0.97565510,0.20443535,0.95533784,0.19807194
1555.3500,1.927492e+14,D,C,0.97674159,0.19906248,0.95745329,0.19315105
1555.4000,1.927430e+14,D,C,0.97775396,0.19392397,0.95942655,0.18842373
1555.4500,1.927368e+14,D,C,0.97869872,0.18900423,0.96126986,0.18387884
1555.5000,1.927306e+14,D,C,0.97958167,0.18428899,0.96299421,0.17950600
1555.5500,1.927244e+14,D,C,0.98040805,0.17976518,0.96460946,0.17529553
1555.6000,1.927182e+14,D,C,0.98118251,0.17542081,0.96612448,0.17123843
1555.6500,1.927120e+14,D,C,0.98190926,0.17124485,0.96754727,0.16732629
1555.7000,1.927058e+14,D,C,0.98259211,0.16722713,0.96888504,0.16355128
1555.7500,1.926996e+14,D,C,0.98323446,0.16335829,0.97014435,0.15990607
1555.8000,1.926934e+14,D,C,0.98383943,0.15962967,0.97133111,0.15638383
1555.8500,1.926873e+14,D,C,0.98440982,0.15603326,0.97245071,0.15297816
1555.9000,1.926811e+14,D,C,0.98494818,0.15256165,0.97350804,0.14968309
1555.9500,1.926749e+14,D,C,0.98545685,0.14920794,0.97450756,0.14649301
1556.0000,1.926687e+14,D,C,0.98593792,0.14596576,0.97545336,0.14340268
1556.0500,1.926625e+14,D,C,0.98639334,0.14282914,0.97634914,0.14040719
1556.1000,1.926563e+14,D,C,0.98682488,0.13979256,0.97719832,0.13750191
1556.1500,1.926501e+14,D,C,0.98723414,0.13685084,0.97800402,0.13468251
1556.2000,1.926439e+14,D,C,0.98762262,0.13399917,0.97876911,0.13194492
1556.2500,1.926377e+14,D,C,0.98799167,0.13123304,0.97949622,0.12928531
1556.3000,1.926315e+14,D,C,0.98834255,0.12854823,0.98018778,0.12670007
1556.3500,1.926253e+14,D,C,0.98867641,0.12594081,0.98084603,0.12418581
1556.4000,1.926192e+14,D,C,0.98899432,0.12340706,0.98147303,0.12173933
1556.4500,1.926130e+14,D,C,0.98929726,0.12094351,0.98207068,0.11935760
1556.5000,1.926068e+14,D,C,0.98958613,0.11854690,0.98264076,0.11703779
1556.5500,1.926006e+14,D,C,0.98986177,0.11621416,0.98318489,0.11477719
1556.6000,1.925944e+14,D,C,0.99012496,0.11394241,0.98370458,0.11257327
1556.6500,1.925882e+14,D,C,0.99037643,0.11172892,0.98420125,0.11042361
1556.7000,1.925820e+14,D,C,0.99061684,0.10957112,0.98467620,0.10832594
1556.7500,1.925759e+14,D,C,0.99084682,0.10746661,0.98513064,0.10627810
1556.8000,1.925697e+14,D,C,0.99106694,0.10541308,0.98556571,0.10427804
1556.8500,1.925635e+14,D,C,0.99127774,0.10340838,0.98598245,0.10232383
1556.9000,1.925573e+14,D,C,0.99147974,0.10145046,0.98638186,0.10041362
1556.9500,1.925511e+14,D,C,0.99167338,0.09953739,0.98676484,0.09854567
1557.0000,1.925449e+14,D,C,0.99185913,0.09766734,0.98713226,0.09671831
1557.0500,1.925387e+14,D,C,0.99203737,0.09583857,0.98748491,0.09492996
1557.1000,1.925326e+14,D,C,0.99220850,0.09404942,0.98782355,0.09317912
1557.1500,1.925264e+14,D,C,0.99237288,0.09229833,0.98814888,0.09146437
1557.2000,1.925202e+14,D,C,0.99253084,0.09058381,0.98846155,0.08978432
1557.2500,1.925140e+14,D,C,0.99268270,0.08890445,0.98876220,0.08813770
1557.3000,1.925078e+14,D,C,0.99282875,0.08725891,0.98905139,0.08652325
