wavelength_nm,frequency_Hz,out_port,in_port,abs_S,phase_rad,real_S,imag_S
1551.0000,1.932898e+14,B,A,0.99515861,0.05488756,0.99365996,0.05459441
1551.0500,1.932836e+14,B,A,0.99520821,0.05398201,0.99375852,0.05369725
1551.1000,1.932773e+14,B,A,0.99525649,0.05308569,0.99385446,0.05280907
1551.1500,1.932711e+14,B,A,0.99530350,0.05219837,0.99394787,0.05192963
1551.2000,1.932649e+14,B,A,0.99534925,0.05131980,0.99403880,0.05105870
1551.2500,1.932586e+14,B,A,0.99539380,0.05044975,0.99412734,0.05019607
1551.3000,1.932524e+14,B,A,0.99543718,0.04958800,0.99421355,0.04934151
1551.3500,1.932462e+14,B,A,0.99547941,0.04873434,0.99429749,0.04849483
1551.4000,1.932399e+14,B,A,0.99552053,0.04788854,0.99437923,0.04765580
1551.4500,1.932337e+14,B,A,0.99556056,0.04705041,0.99445881,0.04682425
1551.5000,1.932275e+14,B,A,0.99559955,0.04621973,0.99453630,0.04599997
1551.5500,1.932213e+14,B,A,0.99563750,0.04539633,0.99461176,0.04518277
1551.6000,1.932150e+14,B,A,0.99567446,0.04458000,0.99468524,0.04437247
1551.6500,1.932088e+14,B,A,0.99571045,0.04377056,0.99475678,0.04356889
1551.7000,1.932026e+14,B,A,0.99574548,0.04296784,0.99482643,0.04277186
1551.7500,1.931964e+14,B,A,0.99577959,0.04217164,0.99489425,0.04198121
1551.8000,1.931901e+14,B,A,0.99581280,0.04138181,0.99496028,0.04119677
1551.8500,1.931839e+14,B,A,0.99584513,0.04059817,0.99502456,0.04041838
1551.9000,1.931777e+14,B,A,0.99587660,0.03982056,0.99508713,0.03964588
1551.9500,1.931715e+14,B,A,0.99590722,0.03904882,0.99514804,0.03887912
1552.0000,1.931652e+14,B,A,0.99593703,0.03828279,0.99520731,0.03811794
1552.0500,1.931590e+14,B,A,0.99596604,0.03752233,0.99526500,0.03736220
1552.1000,1.931528e+14,B,A,0.99599427,0.03676728,0.99532114,0.03661175
1552.1500,1.931466e+14,B,A,0.99602173,0.03601750,0.99537575,0.03586645
1552.2000,1.931404e+14,B,A,0.99604845,0.03527284,0.99542888,0.03512617
1552.2500,1.931341e+14,B,A,0.99607443,0.03453317,0.99548056,0.03439077
1552.3000,1.931279e+14,B,A,0.99609970,0.03379835,0.99553082,0.03366011
1552.3500,1.931217e+14,B,A,0.99612427,0.03306824,0.99557968,0.03293408
1552.4000,1.931155e+14,B,A,0.99614815,0.03234273,0.99562719,0.03221253
1552.4500,1.931093e+14,B,A,0.99617136,0.03162167,0.99567335,0.03149535
1552.5000,1.931030e+14,B,A,0.99619392,0.03090494,0.99571821,0.03078242
1552.5500,1.930968e+14,B,A,0.99621583,0.03019243,0.99576179,0.03007361
1552.6000,1.930906e+14,B,A,0.99623710,0.02948401,0.99580411,0.02936881
1552.6500,1.930844e+14,B,A,0.99625776,0.02877956,0.99584520,0.02866791
1552.7000,1.930782e+14,B,A,0.99627780,0.02807898,0.99588508,0.02797078
1552.7500,1.930719e+14,B,A,0.99629726,0.02738213,0.99592378,0.02727733
1552.8000,1.930657e+14,B,A,0.99631612,0.02668892,0.99596130,0.02658745
1552.8500,1.930595e+14,B,A,0.99633441,0.02599924,0.99599769,0.02590102
1552.9000,1.930533e+14,B,A,0.99635213,0.02531297,0.99603294,0.02521794
1552.9500,1.930471e+14,B,A,0.99636930,0.02463001,0.99606710,0.02453811
1553.0000,1.930409e+14,B,A,0.99638592,0.02395026,0.99610016,0.02386142
1553.0500,1.930346e+14,B,A,0.99640200,0.02327362,0.99613216,0.02318779
1553.1000,1.930284e+14,B,A,0.99641755,0.02259998,0.99616310,0.02251710
1553.1500,1.930222e+14,B,A,0.99643258,0.02192925,0.99619301,0.02184927
1553.2000,1.930160e+14,B,A,0.99644710,0.02126133,0.99622189,0.02118420
1553.2500,1.930098e+14,B,A,0.99646112,0.02059613,0.99624978,0.02052179
1553.3000,1.930036e+14,B,A,0.99647463,0.01993354,0.99627667,0.01986195
1553.3500,1.929974e+14,B,A,0.99648766,0.01927348,0.99630258,0.01920460
1553.4000,1.929912e+14,B,A,0.99650020,0.01861586,0.99632754,0.01854964
1553.4500,1.929849e+14,B,A,0.99651226,0.01796059,0.99635154,0.01789698
1553.5000,1.929787e+14,B,A,0.99652385,0.01730757,0.99637460,0.01724654
1553.5500,1.929725e+14,B,A,0.99653498,0.01665671,0.99639674,0.01659823
1553.6000,1.929663e+14,B,A,0.99654565,0.01600794,0.99641796,0.01595196
1553.6500,1.929601e+14,B,A,0.99655586,0.01536117,0.99643828,0.01530766
1553.7000,1.929539e+14,B,A,0.99656562,0.01471630,0.99645771,0.01466523
1553.7500,1.929477e+14,B,A,0.99657494,0.01407327,0.99647625,0.01402460
1553.8000,1.929415e+14,B,A,0.99658382,0.01343197,0.99649392,0.01338569
1553.8500,1.929353e+14,B,A,0.99659226,0.01279234,0.99651072,0.01274840
1553.9000,1.929291e+14,B,A,0.99660027,0.01215429,0.99652666,0.01211267
1553.9500,1.929228e+14,B,A,0.99660786,0.01151774,0.99654175,0.01147842
1554.0000,1.929166e+14,B,A,0.99661502,0.01088261,0.99655600,0.01084556
1554.0500,1.929104e+14,B,A,0.99662176,0.01024883,0.99656942,0.01021402
1554.1000,1.929042e+14,B,A,0.99662808,0.00961630,0.99658200,0.00958373
1554.1500,1.928980e+14,B,A,0.99663399,0.00898496,0.99659376,0.00895460
1554.2000,1.928918e+14,B,A,0.99663949,0.00835473,0.99660471,0.00832655
1554.2500,1.928856e+14,B,A,0.99664459,0.00772553,0.99661484,0.00769953
1554.3000,1.928794e+14,B,A,0.99664927,0.00709728,0.99662417,0.00707344
1554.3500,1.928732e+14,B,A,0.99665356,0.00646991,0.99663270,0.00644822
1554.4000,1.928670e+14,B,A,0.99665744,0.00584335,0.99664043,0.00582379
1554.4500,1.928608e+14,B,A,0.99666092,0.00521752,0.99664736,0.00520007
1554.5000,1.928546e+14,B,A,0.99666401,0.00459234,0.99665350,0.00457700
1554.5500,1.928484e+14,B,A,0.99666670,0.00396774,0.99665886,0.00395450
1554.6000,1.928422e+14,B,A,0.99666900,0.00334365,0.99666343,0.00333250
1554.6500,1.928360e+14,B,A,0.99667090,0.00271999,0.99666722,0.00271093
1554.7000,1.928298e+14,B,A,0.99667241,0.00209669,0.99667022,0.00208971
1554.7500,1.928236e+14,B,A,0.99667353,0.00147368,0.99667245,0.00146877
1554.8000,1.928174e+14,B,A,0.99667426,0.00085087,0.99667390,0.00084804
1554.8500,1.928112e+14,B,A,0.99667460,0.00022821,0.99667457,0.00022745
1554.9000,1.928050e+14,B,A,0.99667455,-0.00039438,0.99667447,-0.00039307
1554.9500,1.927988e+14,B,A,0.99667411,-0.00101698,0.99667359,-0.00101360
1555.0000,1.927926e+14,B,A,0.99667327,-0.00163966,0.99667193,-0.00163421
