topology,n_logical,examples,train_examples,holdout_examples,mae_analytic,mae_calibrated,kendall_tau_analytic,kendall_tau_calibrated
padded_benes_4x4,4,8,5,3,1.377911667,0.100064648,1.000000000,1.000000000
padded_benes_8x8,5,9,5,4,2.236991250,0.121400910,1.000000000,0.666666667
spanke_benes_4x4,4,8,5,3,1.050537333,0.045998747,1.000000000,1.000000000
spanke_benes_5x5,5,10,6,4,1.378026500,0.237258247,1.000000000,1.000000000
waksman_4x4,4,7,4,3,1.072259667,0.346781767,1.000000000,0.333333333
waksman_5x5,5,9,5,4,1.735150750,0.214816468,0.333333333,1.000000000
