topology,N,config,worst_il_exhaustive_db,worst_il_path_db,equal,gap_db
padded_benes,3,B_db_placeholder,2.309723946057224,2.309723946057224,True,0.0
waksman,3,B_db_placeholder,1.8975962358817824,1.8975962358817824,True,0.0
padded_benes,3,C_db_realistic,1.180631535836004,1.180631535836004,True,0.0
waksman,3,C_db_realistic,1.0128229919731573,1.0128229919731573,True,0.0
padded_benes,4,B_db_placeholder,2.482391003011744,2.482391003011744,True,0.0
waksman,4,B_db_placeholder,2.4878511866719997,2.4878511866719997,True,0.0
padded_benes,4,C_db_realistic,1.1919644788814832,1.1919644788814832,True,0.0
waksman,4,C_db_realistic,1.3498360672937038,1.3498360672937038,True,0.0
padded_benes,5,B_db_placeholder,4.390654295848047,4.390654295848047,True,0.0
waksman,5,B_db_placeholder,3.83898224765837,3.83898224765837,True,0.0
padded_benes,5,C_db_realistic,2.486463379234033,2.486463379234033,True,0.0
waksman,5,C_db_realistic,1.8498972201102015,1.8498972201102015,True,0.0
padded_benes,6,B_db_placeholder,4.396152035010801,4.396152035010801,True,0.0
waksman,6,B_db_placeholder,4.02335726788084,4.02335726788084,True,0.0
padded_benes,6,C_db_realistic,2.4864633792340336,2.4864633792340336,True,0.0
waksman,6,C_db_realistic,2.2777541490310247,2.2777541490310247,True,0.0
padded_benes,7,B_db_placeholder,4.396152035010801,4.396152035010801,True,0.0
waksman,7,B_db_placeholder,4.853028145206953,4.853028145206953,True,0.0
padded_benes,7,C_db_realistic,2.4864633792340336,2.4864633792340336,True,0.0
waksman,7,C_db_realistic,3.7654676031297076,3.7654676031297076,True,0.0
padded_benes,8,B_db_placeholder,4.5241520350108,4.5241520350108,True,0.0
waksman,8,B_db_placeholder,4.927447422553782,4.927447422553782,True,0.0
padded_benes,8,C_db_realistic,2.4864633792340336,2.4864633792340336,True,0.0
waksman,8,C_db_realistic,3.7984212059855453,3.7984212059855453,True,0.0
padded_benes,9,B_db_placeholder,7.9557482708925855,7.9557482708925855,True,0.0
waksman,9,B_db_placeholder,6.787492149238803,6.787492149238803,True,0.0
padded_benes,9,C_db_realistic,4.721762279586583,4.721762279586583,True,0.0
waksman,9,C_db_realistic,4.271953841468999,4.271953841468999,True,0.0
padded_benes,10,B_db_placeholder,7.9557482708925855,7.9557482708925855,True,0.0
waksman,10,B_db_placeholder,7.100242189683743,7.100242189683743,True,0.0
padded_benes,10,C_db_realistic,4.721762279586583,4.721762279586583,True,0.0
padded_benes,11,B_db_placeholder,7.9557482708925855,7.9557482708925855,True,0.0
waksman,11,B_db_placeholder,7.131658116219641,7.131658116219641,True,0.0
padded_benes,11,C_db_realistic,4.721762279586583,4.721762279586583,True,0.0
padded_benes,12,B_db_placeholder,7.9557482708925855,7.9557482708925855,True,0.0
waksman,12,B_db_placeholder,7.331658116219641,7.331658116219641,True,0.0
padded_benes,12,C_db_realistic,4.721762279586583,4.721762279586583,True,0.0
