topology,n_logical,examples,train_examples,holdout_examples,mae_analytic,mae_calibrated,kendall_tau_analytic,kendall_tau_calibrated
padded_benes_4x4,4,8,5,3,1.200342333,0.142883028,1.000000000,1.000000000
padded_benes_8x8,5,9,5,4,2.310991250,0.119782032,1.000000000,1.000000000
spanke_benes_4x4,4,8,5,3,1.064342667,0.317315211,1.000000000,1.000000000
spanke_benes_5x5,5,10,6,4,1.383203500,0.135148752,1.000000000,1.000000000
waksman_4x4,4,8,5,3,1.156967667,0.212098849,0.333333333,1.000000000
waksman_5x5,5,9,5,4,1.714796750,0.108423602,0.333333333,1.000000000
