edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:3:w1:waksman_10x10_s3_w1_9.th->waksman_10x10_s4_w1_5.in:w1,input:w1->waksman_10x10_s0_w0_1.add,interstage,waksman_10x10_s3_w1_9.th,1,False,waksman_10x10_s4_w1_5.in,1,False,3,4
stage:2:w4:waksman_10x10_s2_w0_4.drop->waksman_10x10_s4_w0_4.add:w4,input:w4->waksman_10x10_s0_w4_5.in,interstage,waksman_10x10_s2_w0_4.drop,4,False,waksman_10x10_s4_w0_4.add,4,False,2,4
stage:2:w5:waksman_10x10_s2_w1_5.drop->waksman_10x10_s4_w1_5.add:w5,input:w5->waksman_10x10_s0_w4_5.add,interstage,waksman_10x10_s2_w1_5.drop,5,False,waksman_10x10_s4_w1_5.add,5,False,2,4
stage:4:w0:waksman_10x10_s4_w0_4.th->waksman_10x10_s5_w0_2.in:w0,input:w0->waksman_10x10_s0_w0_1.in,interstage,waksman_10x10_s4_w0_4.th,0,False,waksman_10x10_s5_w0_2.in,0,False,4,5
stage:4:w1:waksman_10x10_s4_w1_5.th->waksman_10x10_s5_w1_3.in:w1,input:w1->waksman_10x10_s0_w0_1.add,interstage,waksman_10x10_s4_w1_5.th,1,False,waksman_10x10_s5_w1_3.in,1,False,4,5
stage:2:w2:waksman_10x10_s2_w2_6.th->waksman_10x10_s5_w0_2.add:w2,input:w2->waksman_10x10_s0_w2_3.in,interstage,waksman_10x10_s2_w2_6.th,2,False,waksman_10x10_s5_w0_2.add,2,False,2,5
stage:2:w3:waksman_10x10_s2_w3_7.th->waksman_10x10_s5_w1_3.add:w3,input:w3->waksman_10x10_s0_w2_3.add,interstage,waksman_10x10_s2_w3_7.th,3,False,waksman_10x10_s5_w1_3.add,3,False,2,5
stage:4:w4:waksman_10x10_s4_w0_4.drop->waksman_10x10_s5_w4_6.in:w4,input:w4->waksman_10x10_s0_w4_5.in,interstage,waksman_10x10_s4_w0_4.drop,4,False,waksman_10x10_s5_w4_6.in,4,False,4,5
stage:4:w5:waksman_10x10_s4_w1_5.drop->waksman_10x10_s5_w5_7.in:w5,input:w5->waksman_10x10_s0_w4_5.add,interstage,waksman_10x10_s4_w1_5.drop,5,False,waksman_10x10_s5_w5_7.in,5,False,4,5
stage:2:w6:waksman_10x10_s2_w2_6.drop->waksman_10x10_s5_w4_6.add:w6,input:w6->waksman_10x10_s0_w6_7.in,interstage,waksman_10x10_s2_w2_6.drop,6,False,waksman_10x10_s5_w4_6.add,6,False,2,5
stage:2:w7:waksman_10x10_s2_w3_7.drop->waksman_10x10_s5_w5_7.add:w7,input:w7->waksman_10x10_s0_w6_7.add,interstage,waksman_10x10_s2_w3_7.drop,7,False,waksman_10x10_s5_w5_7.add,7,False,2,5
stage:5:w0:waksman_10x10_s5_w0_2.th->waksman_10x10_s6_w0_1.in:w0,input:w0->waksman_10x10_s0_w0_1.in,interstage,waksman_10x10_s5_w0_2.th,0,False,waksman_10x10_s6_w0_1.in,0,False,5,6
stage:5:w1:waksman_10x10_s5_w1_3.th->waksman_10x10_s6_w0_1.add:w1,input:w1->waksman_10x10_s0_w0_1.add,interstage,waksman_10x10_s5_w1_3.th,1,False,waksman_10x10_s6_w0_1.add,1,False,5,6
stage:5:w2:waksman_10x10_s5_w0_2.drop->waksman_10x10_s6_w2_3.in:w2,input:w2->waksman_10x10_s0_w2_3.in,interstage,waksman_10x10_s5_w0_2.drop,2,False,waksman_10x10_s6_w2_3.in,2,False,5,6
