topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
spanke_benes_4x4,default,1-3-2-0,1,3,routed,,1060.955743,14,4,4.226297,2.888385,1.337911,627.000000,433.955743,1.634385,6.983242,4,physical,2,42
spanke_benes_4x4,default,1-3-2-0,2,2,routed,,1064.955743,14,4,4.234297,2.888385,1.345911,627.000000,437.955743,1.634385,7.433795,4,physical,2,42
spanke_benes_4x4,default,1-3-2-0,3,0,routed,,974.809725,15,3,4.442052,3.339432,1.102619,611.000000,363.809725,2.117432,5.661173,4,physical,2,42
padded_benes_8x8,default,3-1-2-4-0,0,3,routed,,1026.225651,19,8,5.027365,3.365913,1.661451,643.000000,383.225651,2.079913,7.797064,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,1,1,routed,,1264.079633,20,7,4.441979,2.519820,1.922159,703.000000,561.079633,1.113820,17.479472,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,2,2,routed,,1611.349541,25,11,6.527612,3.693913,2.833699,807.000000,804.349541,2.079913,6.665350,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,3,4,routed,,1480.911486,28,6,6.264783,4.072960,2.191823,755.000000,725.911486,2.562960,6.213122,5,physical,0,42
padded_benes_8x8,default,3-1-2-4-0,4,0,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=padded_benes_8x8_s1_w5_7/obstacle:(160.000,32.000)->(568.000,32.000)",,,,,3.952960,,695.000000,,2.562960,6.697651,5,physical,0,42
padded_benes_8x8,default,3-2-0-4-1,0,3,routed,,1046.225651,19,9,5.167365,3.365913,1.801451,643.000000,403.225651,2.079913,7.797064,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,1,2,routed,,1269.495559,24,9,5.638904,3.429913,2.208991,675.000000,594.495559,2.079913,7.498947,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,2,0,routed,,1583.641578,23,12,7.045243,4.200960,2.844283,819.000000,764.641578,2.562960,4.819887,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,3,4,routed,,1443.203522,26,9,6.479367,4.072960,2.406407,755.000000,688.203522,2.562960,6.213122,5,physical,1,42
padded_benes_8x8,default,3-2-0-4-1,4,1,routed,,1359.349541,25,5,6.389706,4.468007,1.921699,711.000000,648.349541,3.046007,4.878192,5,physical,1,42
padded_benes_8x8,default,3-1-2-0-4,0,3,routed,,988.517688,17,11,5.241949,3.365913,1.876035,643.000000,345.517688,2.079913,7.430130,5,physical,2,42
padded_benes_8x8,default,3-1-2-0-4,1,1,routed,,1232.663706,16,12,4.859147,2.519820,2.339327,703.000000,529.663706,1.113820,17.306698,5,physical,2,42
padded_benes_8x8,default,3-1-2-0-4,2,2,routed,,1709.349541,25,14,7.023612,3.693913,3.329699,807.000000,902.349541,2.079913,6.665350,5,physical,2,42
padded_benes_8x8,default,3-1-2-0-4,3,0,routed,,1399.641578,23,11,6.094196,3.685913,2.408283,803.000000,596.641578,2.079913,6.368176,5,physical,2,42
