edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:0:w13:padded_benes_16x16_s0_w12_13.drop->padded_benes_16x16_s1_w13_15.in:w13,input:w13->padded_benes_16x16_s0_w12_13.add,interstage,padded_benes_16x16_s0_w12_13.drop,13,False,padded_benes_16x16_s1_w13_15.in,13,False,0,1
stage:0:w14:padded_benes_16x16_s0_w14_15.th->padded_benes_16x16_s1_w12_14.add:w14,input:w14->padded_benes_16x16_s0_w14_15.in,interstage,padded_benes_16x16_s0_w14_15.th,14,False,padded_benes_16x16_s1_w12_14.add,14,False,0,1
stage:0:w15:padded_benes_16x16_s0_w14_15.drop->padded_benes_16x16_s1_w13_15.add:w15,input:w15->padded_benes_16x16_s0_w14_15.add,interstage,padded_benes_16x16_s0_w14_15.drop,15,False,padded_benes_16x16_s1_w13_15.add,15,False,0,1
stage:1:w0:padded_benes_16x16_s1_w0_2.th->padded_benes_16x16_s2_w0_4.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s1_w0_2.th,0,False,padded_benes_16x16_s2_w0_4.in,0,False,1,2
stage:1:w1:padded_benes_16x16_s1_w1_3.th->padded_benes_16x16_s2_w1_5.in:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s1_w1_3.th,1,False,padded_benes_16x16_s2_w1_5.in,1,False,1,2
stage:1:w2:padded_benes_16x16_s1_w0_2.drop->padded_benes_16x16_s2_w2_6.in:w2,input:w2->padded_benes_16x16_s0_w2_3.in,interstage,padded_benes_16x16_s1_w0_2.drop,2,False,padded_benes_16x16_s2_w2_6.in,2,False,1,2
stage:1:w3:padded_benes_16x16_s1_w1_3.drop->padded_benes_16x16_s2_w3_7.in:w3,input:w3->padded_benes_16x16_s0_w2_3.add,interstage,padded_benes_16x16_s1_w1_3.drop,3,False,padded_benes_16x16_s2_w3_7.in,3,False,1,2
stage:1:w4:padded_benes_16x16_s1_w4_6.th->padded_benes_16x16_s2_w0_4.add:w4,input:w4->padded_benes_16x16_s0_w4_5.in,interstage,padded_benes_16x16_s1_w4_6.th,4,False,padded_benes_16x16_s2_w0_4.add,4,False,1,2
stage:1:w5:padded_benes_16x16_s1_w5_7.th->padded_benes_16x16_s2_w1_5.add:w5,input:w5->padded_benes_16x16_s0_w4_5.add,interstage,padded_benes_16x16_s1_w5_7.th,5,False,padded_benes_16x16_s2_w1_5.add,5,False,1,2
stage:1:w6:padded_benes_16x16_s1_w4_6.drop->padded_benes_16x16_s2_w2_6.add:w6,input:w6->padded_benes_16x16_s0_w6_7.in,interstage,padded_benes_16x16_s1_w4_6.drop,6,False,padded_benes_16x16_s2_w2_6.add,6,False,1,2
stage:1:w7:padded_benes_16x16_s1_w5_7.drop->padded_benes_16x16_s2_w3_7.add:w7,input:w7->padded_benes_16x16_s0_w6_7.add,interstage,padded_benes_16x16_s1_w5_7.drop,7,False,padded_benes_16x16_s2_w3_7.add,7,False,1,2
stage:1:w8:padded_benes_16x16_s1_w8_10.th->padded_benes_16x16_s2_w8_12.in:w8,input:w8->padded_benes_16x16_s0_w8_9.in,interstage,padded_benes_16x16_s1_w8_10.th,8,False,padded_benes_16x16_s2_w8_12.in,8,False,1,2
stage:1:w9:padded_benes_16x16_s1_w9_11.th->padded_benes_16x16_s2_w9_13.in:w9,input:w9->padded_benes_16x16_s0_w8_9.add,interstage,padded_benes_16x16_s1_w9_11.th,9,False,padded_benes_16x16_s2_w9_13.in,9,False,1,2
stage:1:w10:padded_benes_16x16_s1_w8_10.drop->padded_benes_16x16_s2_w10_14.in:w10,input:w10->padded_benes_16x16_s0_w10_11.in,interstage,padded_benes_16x16_s1_w8_10.drop,10,False,padded_benes_16x16_s2_w10_14.in,10,False,1,2
stage:1:w11:padded_benes_16x16_s1_w9_11.drop->padded_benes_16x16_s2_w11_15.in:w11,input:w11->padded_benes_16x16_s0_w10_11.add,interstage,padded_benes_16x16_s1_w9_11.drop,11,False,padded_benes_16x16_s2_w11_15.in,11,False,1,2
stage:1:w12:padded_benes_16x16_s1_w12_14.th->padded_benes_16x16_s2_w8_12.add:w12,input:w12->padded_benes_16x16_s0_w12_13.in,interstage,padded_benes_16x16_s1_w12_14.th,12,False,padded_benes_16x16_s2_w8_12.add,12,False,1,2
stage:1:w13:padded_benes_16x16_s1_w13_15.th->padded_benes_16x16_s2_w9_13.add:w13,input:w13->padded_benes_16x16_s0_w12_13.add,interstage,padded_benes_16x16_s1_w13_15.th,13,False,padded_benes_16x16_s2_w9_13.add,13,False,1,2
stage:1:w14:padded_benes_16x16_s1_w12_14.drop->padded_benes_16x16_s2_w10_14.add:w14,input:w14->padded_benes_16x16_s0_w14_15.in,interstage,padded_benes_16x16_s1_w12_14.drop,14,False,padded_benes_16x16_s2_w10_14.add,14,False,1,2
