rule,edge_ids,message,x_um,y_um
crossing_clearance,input:w0->waksman_4x4_s0_w0_1.in;input:w2->waksman_4x4_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=12.500,19.500,5.000,123.000 um; minimum=5.000 um)",181.0,153.0
crossing_clearance,input:w1->waksman_4x4_s0_w0_1.add;input:w2->waksman_4x4_s0_w2_3.in,"crossing arms do not provide the required straight edge clearance (10.000 um centerline-equivalent; effective centerline threshold=9.550 um) (arms=160.000,93.000,83.500,5.500 um; minimum=5.500 um)",304.0,69.5
