topology,layout,paths,worst_il_db,avg_il_db,il_std_db,il_iqr_db,il_p50_db,il_p90_db,il_p95_db,il_p99_db,worst_sxr_db,avg_sxr_db,sxr_p01_db,sxr_p05_db,sxr_violation_count,n_logical,n_physical,layer,seed,eval_mode,train_perms,eval_perms,n_mrr,n_stages,avg_crossing_count,crossing_loss_db_per_cross
padded_benes_4x4,default,18,1.2928987946072859,1.1388984043194317,0.14692514658892705,0.06866705695452113,1.175564680698244,1.284031854739121,1.2928987946072859,1.2928987946072859,16.226352891716623,21.362376619634396,16.439683086438247,17.29300386532475,5,3,4,logical,44,exhaustive,0,6,6,3,2.0,0.1
waksman_3x3,default,18,1.1042317376527648,0.9912654727836697,0.05893632535151177,0.05133294304547942,0.9992654727836696,1.03168852946259,1.0605987360641076,1.0955051373350333,15.963169775647373,24.378953696172616,16.24680406029988,17.381341198909904,4,3,3,logical,44,exhaustive,0,6,3,3,2.0,0.1
spanke_benes_3x3,default,18,0.9208987946072856,0.8045988061170031,0.0706826807619814,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.911820219111192,16.441327047563384,17.650295250363058,4,3,3,logical,44,exhaustive,0,6,3,3,0.0,0.1
spanke_benes_rect_3x3,default,18,0.9208987946072856,0.8045988061170031,0.0706826807619814,0.11607480197864362,0.842598415829149,0.8711553522443981,0.9101317961959428,0.9187453949250171,16.139084996863467,25.911820219111192,16.441327047563384,17.650295250363058,4,3,3,logical,44,exhaustive,0,6,3,3,0.0,0.1
padded_benes_4x4,default,96,1.3315646806982442,1.177453894827012,0.13978274455809678,0.14883323576136975,1.2288987946072858,1.2882317376527648,1.2928987946072859,1.3315646806982442,15.742243391814604,18.780517918833763,15.742243391814604,15.761267055104376,64,4,4,logical,44,exhaustive,0,24,6,3,3.0,0.1
waksman_4x4,default,96,1.1928987946072858,1.0309707623924642,0.10166836813106991,0.15600000000000014,1.0692311522209839,1.1738982091755044,1.1802317376527647,1.1928987946072858,15.864242141755827,22.362782869220453,15.870283544965266,16.231146782978,40,4,4,logical,44,exhaustive,0,24,5,3,1.0,0.1
spanke_benes_4x4,default,96,1.5108313243454758,1.3098982091755047,0.10802184724335326,0.11999999999999988,1.333048398564573,1.4451980025218603,1.4451980025218603,1.5108313243454758,13.348004461779354,22.036590306495146,13.349824209948707,15.608124219253874,36,4,4,logical,44,exhaustive,0,24,6,5,0.0,0.1
spanke_benes_rect_4x4,default,96,1.2351980025218603,1.0998982091755047,0.09689720611118316,0.14804048141595771,1.1135646806982442,1.2225309455673394,1.2351980025218603,1.2351980025218603,14.653190696647266,22.121149193824127,14.653190696647265,15.848562707721369,44,4,4,logical,44,exhaustive,0,24,6,4,0.0,0.1
padded_benes_8x8,default,600,3.0094972104364346,2.5325551547370297,0.28861855454356056,0.30816734967041093,2.610163096527393,2.843297561695505,2.9085312658022966,2.95867759682141,12.852549921766235,16.36090586321194,12.857234052482893,13.127297966350396,576,5,8,logical,44,exhaustive,0,120,20,5,9.533333333333333,0.1
waksman_5x5,default,600,2.3694972104364345,1.8643092113059894,0.20657720001482413,0.2199999999999993,1.9002317376527647,2.0675646806982444,2.1188976237437234,2.31867759682141,12.597042248705321,19.52852702014967,13.425429436237385,14.549221369532884,480,5,5,logical,44,exhaustive,0,120,8,5,6.5,0.1
spanke_benes_5x5,default,600,2.100763854083667,1.818930945567342,0.14288829697394875,0.20859841582914918,1.8423470210473663,1.9694972104364346,2.0351305322600517,2.088223467698692,11.315199620028451,19.533273967544563,12.00425978222436,12.869859170154063,358,5,5,logical,44,exhaustive,0,120,10,7,0.0,0.1
spanke_benes_rect_5x5,default,600,1.5494972104364346,1.3989309455673395,0.12042119195811182,0.16029920791457442,1.4325309455673394,1.5368301534819135,1.5494972104364346,1.5494972104364346,13.36136791705476,19.646083604877617,13.368991151746597,14.355150993795787,390,5,5,logical,44,exhaustive,0,120,10,5,0.0,0.1
padded_benes_8x8,default,4320,3.2094972104364343,2.6512232361026262,0.3029563923979756,0.3498338211931502,2.7228313243454756,2.9581642673909556,3.089497210436434,3.1581642673909553,12.159170955189229,15.687826730645025,12.39076708439101,13.083368822164667,4224,6,8,logical,44,exhaustive,0,720,20,5,14.2,0.1
waksman_6x6,default,4320,2.550831324345476,1.9952682162771398,0.2023238064142018,0.24286697089227438,1.9927148700873125,2.269497210436435,2.433497210436434,2.5381642673909557,12.259072429626363,18.45568333574934,12.838688852319454,13.583127249187672,3684,6,6,logical,44,exhaustive,0,720,11,5,7.0,0.1
spanke_benes_6x6,default,4320,2.690696383821858,2.3298303486258556,0.1767888905960837,0.2355658515618062,2.359496039572872,2.547726015402465,2.5594297401746258,2.6780293268673363,9.652562691023569,17.66513208908909,10.174959794966776,11.505889552786567,4008,6,6,logical,44,exhaustive,0,720,15,9,0.0,0.1
spanke_benes_rect_6x6,default,4320,1.8637964183510098,1.699830348625834,0.142383127198392,0.18563332182361592,1.7421630965273933,1.8511293613964888,1.8637964183510092,1.8637964183510098,12.323927853899914,17.87846529869738,12.34291856200609,13.106505825615557,3360,6,6,logical,44,exhaustive,0,720,15,6,0.0,0.1
padded_benes_8x8,default,2100,3.2094972104364343,2.7214934410565297,0.3124441558130491,0.37666705695452096,2.761497210436435,3.089497210436435,3.1534972104364343,3.1708313243454755,11.676958767660405,15.34483823325872,12.120912661284525,12.782353452955398,2056,7,8,logical,44,sample,0,300,20,5,18.856666666666666,0.1
waksman_7x7,default,2100,3.4094972104364345,2.447955749846216,0.34031196205904674,0.46866705695452104,2.4595646806982443,2.7974972104364344,3.2208301534819137,3.358164267390955,11.439715922275205,16.995578677230625,11.932711982128767,12.991737406192108,1969,7,7,logical,44,sample,0,300,14,5,18.053333333333335,0.1
spanke_benes_7x7,default,2100,3.2806289135600486,2.8436008263685864,0.20309193647276746,0.2802992079145734,2.8751305322600507,3.0837289480892,3.146328534781911,3.214995591736433,8.21256726450693,16.525129842038556,9.169425012751038,10.336516500975241,1968,7,7,logical,44,sample,0,300,21,11,0.0,0.1
spanke_benes_rect_7x7,default,2100,2.178095626265584,2.0036008263685803,0.15482686924427794,0.17296626486909594,2.0651293613964885,2.1394297401746254,2.178095626265583,2.178095626265584,11.331656417838643,16.758123470134432,12.022243531957638,12.07034245379441,1933,7,7,logical,44,sample,0,300,21,7,0.0,0.1
padded_benes_8x8,default,2400,3.248163096527393,2.7678750142334234,0.31814954278502044,0.38666588609095864,2.8614972104364345,3.1068313243454764,3.1581642673909553,3.171091312636834,11.612958767660405,14.449489540958165,11.680638268990144,12.17788263208533,2379,8,8,logical,44,sample,0,300,20,5,23.026666666666667,0.1
waksman_8x8,default,2400,3.309497210436434,2.5493436450120477,0.3628816142921781,0.5219325297381907,2.5798638886128185,3.0301642673909557,3.089497210436435,3.2968301534819133,11.6843787576682,16.44253578201737,12.011630894037785,12.705729502790756,2279,8,8,logical,44,sample,0,300,17,5,19.786666666666665,0.1
spanke_benes_8x8,default,2400,3.8705614432982394,3.355556909753811,0.24214889441100615,0.3754972104364347,3.3948791374782674,3.660994420872869,3.6849281214746235,3.8049281214746227,6.917864452208954,15.221256567740074,7.775293986252431,8.826317885893614,2282,8,8,logical,44,sample,0,300,28,13,0.0,0.1
spanke_benes_rect_8x8,default,2400,2.4923948341801587,2.305556909753827,0.1775093451260068,0.21163215096005317,2.3897289480892,2.4537289480892,2.479727777225638,2.4923948341801587,10.506138315591983,15.542021223542475,11.04718887071524,11.752168275875379,2282,8,8,logical,44,sample,0,300,28,8,0.0,0.1
padded_benes_16x16,default,2700,6.158095626265584,5.016745205530317,0.5274692217935448,0.6393329430454786,5.058096797129147,5.692096797129146,5.763429740174624,5.906869342081013,8.116063386985378,11.632300296716005,8.58728299358697,9.037757899598404,2667,9,16,logical,44,sample,0,300,56,7,36.9,0.1
