topology,topology_family,n_logical,attempts,fully_routed_attempts,fully_routed_rate,drc_violation_attempts,worst_il_db,worst_il_permutation,routed_worst_il_mean_db,routed_worst_il_std_db,runtime_s_avg_all_attempts,runtime_s_avg_routed
padded_benes_16x16,padded_benes,9,10,0,0.000000,0,,,,,73.397314,
padded_benes_16x16,padded_benes,10,10,0,0.000000,0,,,,,76.516472,
padded_benes_16x16,padded_benes,11,10,0,0.000000,0,,,,,100.856756,
padded_benes_16x16,padded_benes,12,10,0,0.000000,0,,,,,117.967199,
padded_benes_16x16,padded_benes,13,10,0,0.000000,0,,,,,120.624119,
padded_benes_16x16,padded_benes,14,10,0,0.000000,0,,,,,148.255117,
padded_benes_16x16,padded_benes,15,10,0,0.000000,0,,,,,170.812911,
padded_benes_16x16,padded_benes,16,10,0,0.000000,0,,,,,173.565576,
padded_benes_4x4,padded_benes,3,6,5,0.833333,0,2.609394,0-1-2,2.439601,0.132216,0.762891,0.392578
padded_benes_4x4,padded_benes,4,24,20,0.833333,0,4.139058,2-1-0-3,3.229669,0.478064,1.256457,1.118083
padded_benes_8x8,padded_benes,5,120,84,0.700000,0,6.875651,0-1-3-2-4,5.347648,0.543223,6.857550,5.239030
padded_benes_8x8,padded_benes,6,10,2,0.200000,0,5.808152,1-3-2-0-5-4,5.575819,0.232333,16.055801,6.833939
padded_benes_8x8,padded_benes,7,10,1,0.100000,0,5.836234,2-4-1-5-3-0-6,5.836234,0.000000,18.315013,8.503316
padded_benes_8x8,padded_benes,8,10,0,0.000000,0,,,,,28.381565,
spanke_benes_10x10,spanke_benes,10,10,10,1.000000,0,11.767974,0-3-9-6-8-2-1-5-7-4,10.465708,0.658322,24.766079,24.766079
spanke_benes_11x11,spanke_benes,11,10,8,0.800000,0,13.276738,0-6-2-10-8-7-9-5-3-1-4,12.086713,0.745702,39.762649,37.527402
spanke_benes_12x12,spanke_benes,12,10,8,0.800000,0,14.526919,0-10-11-1-4-5-9-6-7-2-3-8,13.029240,1.114891,56.076784,54.100870
spanke_benes_13x13,spanke_benes,13,10,7,0.700000,0,15.386050,0-4-12-9-5-1-8-2-11-6-7-10-3,14.268291,0.945982,77.334533,71.692881
spanke_benes_14x14,spanke_benes,14,10,8,0.800000,0,18.705378,0-1-11-8-13-9-5-3-12-4-2-7-10-6,15.956599,1.349550,99.189504,101.268213
spanke_benes_15x15,spanke_benes,15,10,8,0.800000,0,19.686704,7-2-0-3-14-12-1-5-10-6-9-4-13-8-11,17.076803,1.361815,127.696756,116.533318
spanke_benes_16x16,spanke_benes,16,10,9,0.900000,0,19.740591,4-15-0-2-14-12-10-6-7-13-5-11-9-3-1-8,18.561977,1.000428,156.243023,156.588754
spanke_benes_3x3,spanke_benes,3,6,6,1.000000,0,2.537394,0-1-2,2.022590,0.288160,0.118697,0.118697
