topology,n_logical,n_mrr,n_stages,worst_il_db,avg_il_db,il_p95_db,worst_sxr_db,sxr_violation_count,physical_attempts,physical_failure_rate,physical_worst_il_db,physical_runtime_s_avg
padded_benes_4x4,3,6,3,1.2928987946072859,1.1388984043194317,1.2928987946072859,16.226352891716623,5,6,0.055556,2.609394,0.756839
waksman_3x3,3,3,3,1.1042317376527648,0.9912654727836697,1.0605987360641076,15.963169775647373,4,6,0.000000,2.317177,0.143074
spanke_benes_3x3,3,3,3,0.9208987946072856,0.8045988061170031,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.119248
spanke_benes_rect_3x3,3,3,3,0.9208987946072856,0.8045988061170031,0.9101317961959428,16.139084996863467,4,6,0.000000,2.537394,0.118939
padded_benes_4x4,4,6,3,1.3315646806982442,1.177453894827012,1.2928987946072859,15.742243391814604,64,24,0.041667,4.139058,1.258682
waksman_4x4,4,5,3,1.1928987946072858,1.0309707623924642,1.1802317376527647,15.864242141755827,40,24,0.010417,3.623807,1.040007
spanke_benes_4x4,4,6,5,1.5108313243454758,1.3098982091755047,1.4451980025218603,13.348004461779354,36,24,0.000000,4.019575,0.676168
spanke_benes_rect_4x4,4,6,4,1.2351980025218603,1.0998982091755047,1.2351980025218603,14.653190696647266,44,24,0.000000,3.507941,0.610304
padded_benes_8x8,5,20,5,3.0094972104364346,2.5325551547370297,2.9085312658022966,12.852549921766235,576,120,0.078333,6.875651,6.867654
waksman_5x5,5,8,5,2.3694972104364345,1.8643092113059894,2.1188976237437234,12.597042248705321,480,120,0.125000,4.703316,5.119589
spanke_benes_5x5,5,10,7,2.100763854083667,1.818930945567342,2.0351305322600517,11.315199620028451,358,120,0.000000,5.477755,1.705223
spanke_benes_rect_5x5,5,10,5,1.5494972104364346,1.3989309455673395,1.5494972104364346,13.36136791705476,390,120,0.000000,4.378736,1.212091
padded_benes_8x8,6,20,5,3.2094972104364343,2.6512232361026262,3.089497210436434,12.159170955189229,4224,10,0.116667,5.584152,12.460977
waksman_6x6,6,11,5,2.550831324345476,1.9952682162771398,2.433497210436434,12.259072429626363,3684,10,0.133333,4.365563,13.695695
spanke_benes_6x6,6,15,9,2.690696383821858,2.3298303486258556,2.5594297401746258,9.652562691023569,4008,10,0.000000,7.143935,3.411594
spanke_benes_rect_6x6,6,15,6,1.8637964183510098,1.699830348625834,1.8637964183510092,12.323927853899914,3360,10,0.000000,5.014122,2.573171
padded_benes_8x8,7,20,5,3.2094972104364343,2.7214934410565297,3.1534972104364343,11.676958767660405,2056,10,0.157143,6.348819,18.028973
waksman_7x7,7,14,5,3.4094972104364345,2.447955749846216,3.2208301534819137,11.439715922275205,1969,10,0.242857,4.514690,19.352650
spanke_benes_7x7,7,21,11,3.2806289135600486,2.8436008263685864,3.146328534781911,8.21256726450693,1968,10,0.000000,7.795066,6.702921
spanke_benes_rect_7x7,7,21,7,2.178095626265584,2.0036008263685803,2.178095626265583,11.331656417838643,1933,10,0.000000,5.541796,4.699230
padded_benes_8x8,8,20,5,3.248163096527393,2.7678750142334234,3.1581642673909553,11.612958767660405,2379,10,0.275000,,23.609109
waksman_8x8,8,17,5,3.309497210436434,2.5493436450120477,3.089497210436435,11.6843787576682,2279,10,0.187500,,20.731790
spanke_benes_8x8,8,28,13,3.8705614432982394,3.355556909753811,3.6849281214746235,6.917864452208954,2282,10,0.000000,10.100296,10.495935
spanke_benes_rect_8x8,8,28,8,2.4923948341801587,2.305556909753827,2.479727777225638,10.506138315591983,2282,10,0.000000,6.014137,7.919029
padded_benes_16x16,9,56,7,6.158095626265584,5.016745205530317,5.763429740174624,8.116063386985378,2667,10,0.322222,,67.953325
waksman_9x9,9,21,7,5.050762683220104,3.4834545404325237,4.107863888612818,8.824887125426494,2578,10,0.355556,,36.970032
spanke_benes_9x9,9,36,15,4.46049397303643,3.8671912802109545,4.263594007565581,5.725392144101553,2625,10,0.000000,10.711427,16.595027
spanke_benes_rect_9x9,9,36,9,2.8066940420947333,2.6071912802109902,2.7940269851402117,9.684374831993477,2625,10,0.000000,7.128594,12.093262
padded_benes_16x16,10,56,7,6.306762683220105,5.133045593426393,5.917695275006514,7.891273947449099,2983,10,0.380000,,81.620918
waksman_10x10,10,25,7,5.332096797129147,3.76647440560786,4.524832703885458,8.263651264062178,2882,10,0.320000,,60.905375
spanke_benes_10x10,10,45,17,5.05042650277462,4.382041715480505,4.787893215480157,4.612487828377993,2919,10,0.000000,11.071797,27.591010
spanke_benes_rect_10x10,10,45,10,3.1209932500093074,2.91204171548055,3.082327363918349,8.968584215028812,2919,10,0.000000,7.773025,19.775807
padded_benes_16x16,11,56,7,6.455429740174626,5.25536607567964,6.048096797129146,7.675692245191268,3281,10,0.409091,,98.268552
waksman_11x11,11,29,7,5.911429740174626,4.117853848442987,4.833497210436435,7.459946296392895,3198,10,0.427273,,87.128237
spanke_benes_11x11,11,55,19,5.64035903251281,4.896911153811832,5.374792010087442,3.557437470078579,3234,10,0.000000,12.541689,36.859809
spanke_benes_rect_11x11,11,55,11,3.435292457923882,3.216911153811875,3.396626571832923,8.231424907695423,3234,10,0.000000,8.426156,26.623118
padded_benes_16x16,12,56,7,6.558095626265583,5.385699143870945,6.163429740174626,7.448133042395102,3587,10,0.358333,,104.179185
waksman_12x12,12,33,7,5.811429740174626,4.164105672710082,5.127429740174625,7.6982416514316245,3522,10,0.433333,,99.939044
spanke_benes_12x12,12,66,21,6.230291562251002,5.409507112845816,5.955091218002017,2.5502549236787253,3546,10,0.000000,14.727627,48.169025
spanke_benes_rect_12x12,12,66,12,3.749591665838456,3.5195071128458086,3.710925779747498,7.640969459851652,3546,10,0.000000,9.194820,36.321713
padded_benes_16x16,13,56,7,6.680763854083667,5.4877928649611905,6.2994297401746255,6.827403932131171,3872,10,0.438462,,129.068097
waksman_13x13,13,37,7,7.306762683220105,4.7071180165813695,5.842762683220105,6.393933417225263,3822,10,0.438462,,105.906613
spanke_benes_13x13,13,78,23,6.820224091989193,5.924914833343771,6.492057482871112,1.5879810505837426,3833,10,0.015385,15.475000,69.207643
spanke_benes_rect_13x13,13,78,13,4.0638908737530315,3.824914833343757,4.025224987662072,6.975625665033086,3833,10,0.000000,10.237753,49.137078
padded_benes_16x16,14,56,7,6.7194297401746255,5.587662787482712,6.422762683220105,6.6062279442398,4182,10,0.492857,,136.554004
waksman_14x14,14,41,7,7.158095626265584,4.938391485408358,6.607429740174625,6.2707665168299265,4119,10,0.450000,,142.518611
