edge_id,kind,source,target,source_blocked,target_blocked
stage:2:w6:waksman_9x9_s2_w2_6.drop->waksman_9x9_s5_w4_6.add:w6,interstage,waksman_9x9_s2_w2_6.drop,waksman_9x9_s5_w4_6.add,False,False
stage:5:w0:waksman_9x9_s5_w0_2.th->waksman_9x9_s6_w0_1.in:w0,interstage,waksman_9x9_s5_w0_2.th,waksman_9x9_s6_w0_1.in,False,False
stage:3:w1:waksman_9x9_s3_w1_3.th->waksman_9x9_s6_w0_1.add:w1,interstage,waksman_9x9_s3_w1_3.th,waksman_9x9_s6_w0_1.add,False,False
stage:5:w2:waksman_9x9_s5_w0_2.drop->waksman_9x9_s6_w2_3.in:w2,interstage,waksman_9x9_s5_w0_2.drop,waksman_9x9_s6_w2_3.in,False,False
stage:3:w3:waksman_9x9_s3_w1_3.drop->waksman_9x9_s6_w2_3.add:w3,interstage,waksman_9x9_s3_w1_3.drop,waksman_9x9_s6_w2_3.add,False,False
stage:5:w4:waksman_9x9_s5_w4_6.th->waksman_9x9_s6_w4_5.in:w4,interstage,waksman_9x9_s5_w4_6.th,waksman_9x9_s6_w4_5.in,False,False
stage:2:w5:waksman_9x9_s2_w1_5.drop->waksman_9x9_s6_w4_5.add:w5,interstage,waksman_9x9_s2_w1_5.drop,waksman_9x9_s6_w4_5.add,False,False
stage:5:w6:waksman_9x9_s5_w4_6.drop->waksman_9x9_s6_w6_7.in:w6,interstage,waksman_9x9_s5_w4_6.drop,waksman_9x9_s6_w6_7.in,False,False
stage:2:w7:waksman_9x9_s2_w3_7.drop->waksman_9x9_s6_w6_7.add:w7,interstage,waksman_9x9_s2_w3_7.drop,waksman_9x9_s6_w6_7.add,False,False
output:waksman_9x9_s6_w0_1.th->w0,output,waksman_9x9_s6_w0_1.th,O0,False,False
output:waksman_9x9_s6_w0_1.drop->w1,output,waksman_9x9_s6_w0_1.drop,O1,False,False
output:waksman_9x9_s6_w2_3.th->w2,output,waksman_9x9_s6_w2_3.th,O2,False,False
output:waksman_9x9_s6_w2_3.drop->w3,output,waksman_9x9_s6_w2_3.drop,O3,False,False
output:waksman_9x9_s6_w4_5.th->w4,output,waksman_9x9_s6_w4_5.th,O4,False,False
output:waksman_9x9_s6_w4_5.drop->w5,output,waksman_9x9_s6_w4_5.drop,O5,False,False
output:waksman_9x9_s6_w6_7.th->w6,output,waksman_9x9_s6_w6_7.th,O6,False,False
output:waksman_9x9_s6_w6_7.drop->w7,output,waksman_9x9_s6_w6_7.drop,O7,False,False
output:waksman_9x9_s3_w0_8.drop->w8,output,waksman_9x9_s3_w0_8.drop,O8,False,False
