edge_id,kind,source,target,source_blocked,target_blocked
stage:1:w7:padded_benes_16x16_s1_w5_7.drop->padded_benes_16x16_s2_w3_7.add:w7,interstage,padded_benes_16x16_s1_w5_7.drop,padded_benes_16x16_s2_w3_7.add,False,False
stage:1:w8:padded_benes_16x16_s1_w8_10.th->padded_benes_16x16_s2_w8_12.in:w8,interstage,padded_benes_16x16_s1_w8_10.th,padded_benes_16x16_s2_w8_12.in,False,False
stage:1:w9:padded_benes_16x16_s1_w9_11.th->padded_benes_16x16_s2_w9_13.in:w9,interstage,padded_benes_16x16_s1_w9_11.th,padded_benes_16x16_s2_w9_13.in,False,False
stage:1:w10:padded_benes_16x16_s1_w8_10.drop->padded_benes_16x16_s2_w10_14.in:w10,interstage,padded_benes_16x16_s1_w8_10.drop,padded_benes_16x16_s2_w10_14.in,False,False
stage:1:w11:padded_benes_16x16_s1_w9_11.drop->padded_benes_16x16_s2_w11_15.in:w11,interstage,padded_benes_16x16_s1_w9_11.drop,padded_benes_16x16_s2_w11_15.in,False,False
stage:1:w12:padded_benes_16x16_s1_w12_14.th->padded_benes_16x16_s2_w8_12.add:w12,interstage,padded_benes_16x16_s1_w12_14.th,padded_benes_16x16_s2_w8_12.add,False,False
stage:1:w13:padded_benes_16x16_s1_w13_15.th->padded_benes_16x16_s2_w9_13.add:w13,interstage,padded_benes_16x16_s1_w13_15.th,padded_benes_16x16_s2_w9_13.add,False,False
stage:1:w14:padded_benes_16x16_s1_w12_14.drop->padded_benes_16x16_s2_w10_14.add:w14,interstage,padded_benes_16x16_s1_w12_14.drop,padded_benes_16x16_s2_w10_14.add,False,False
stage:1:w15:padded_benes_16x16_s1_w13_15.drop->padded_benes_16x16_s2_w11_15.add:w15,interstage,padded_benes_16x16_s1_w13_15.drop,padded_benes_16x16_s2_w11_15.add,False,False
stage:2:w0:padded_benes_16x16_s2_w0_4.th->padded_benes_16x16_s3_w0_8.in:w0,interstage,padded_benes_16x16_s2_w0_4.th,padded_benes_16x16_s3_w0_8.in,False,False
stage:2:w1:padded_benes_16x16_s2_w1_5.th->padded_benes_16x16_s3_w1_9.in:w1,interstage,padded_benes_16x16_s2_w1_5.th,padded_benes_16x16_s3_w1_9.in,False,False
stage:2:w2:padded_benes_16x16_s2_w2_6.th->padded_benes_16x16_s3_w2_10.in:w2,interstage,padded_benes_16x16_s2_w2_6.th,padded_benes_16x16_s3_w2_10.in,False,False
stage:2:w3:padded_benes_16x16_s2_w3_7.th->padded_benes_16x16_s3_w3_11.in:w3,interstage,padded_benes_16x16_s2_w3_7.th,padded_benes_16x16_s3_w3_11.in,False,False
stage:2:w4:padded_benes_16x16_s2_w0_4.drop->padded_benes_16x16_s3_w4_12.in:w4,interstage,padded_benes_16x16_s2_w0_4.drop,padded_benes_16x16_s3_w4_12.in,False,False
stage:2:w5:padded_benes_16x16_s2_w1_5.drop->padded_benes_16x16_s3_w5_13.in:w5,interstage,padded_benes_16x16_s2_w1_5.drop,padded_benes_16x16_s3_w5_13.in,False,False
stage:2:w6:padded_benes_16x16_s2_w2_6.drop->padded_benes_16x16_s3_w6_14.in:w6,interstage,padded_benes_16x16_s2_w2_6.drop,padded_benes_16x16_s3_w6_14.in,False,False
stage:2:w7:padded_benes_16x16_s2_w3_7.drop->padded_benes_16x16_s3_w7_15.in:w7,interstage,padded_benes_16x16_s2_w3_7.drop,padded_benes_16x16_s3_w7_15.in,False,False
stage:2:w8:padded_benes_16x16_s2_w8_12.th->padded_benes_16x16_s3_w0_8.add:w8,interstage,padded_benes_16x16_s2_w8_12.th,padded_benes_16x16_s3_w0_8.add,False,False
stage:2:w9:padded_benes_16x16_s2_w9_13.th->padded_benes_16x16_s3_w1_9.add:w9,interstage,padded_benes_16x16_s2_w9_13.th,padded_benes_16x16_s3_w1_9.add,False,False
stage:2:w10:padded_benes_16x16_s2_w10_14.th->padded_benes_16x16_s3_w2_10.add:w10,interstage,padded_benes_16x16_s2_w10_14.th,padded_benes_16x16_s3_w2_10.add,False,False
stage:2:w11:padded_benes_16x16_s2_w11_15.th->padded_benes_16x16_s3_w3_11.add:w11,interstage,padded_benes_16x16_s2_w11_15.th,padded_benes_16x16_s3_w3_11.add,False,False
stage:2:w12:padded_benes_16x16_s2_w8_12.drop->padded_benes_16x16_s3_w4_12.add:w12,interstage,padded_benes_16x16_s2_w8_12.drop,padded_benes_16x16_s3_w4_12.add,False,False
stage:2:w13:padded_benes_16x16_s2_w9_13.drop->padded_benes_16x16_s3_w5_13.add:w13,interstage,padded_benes_16x16_s2_w9_13.drop,padded_benes_16x16_s3_w5_13.add,False,False
stage:2:w14:padded_benes_16x16_s2_w10_14.drop->padded_benes_16x16_s3_w6_14.add:w14,interstage,padded_benes_16x16_s2_w10_14.drop,padded_benes_16x16_s3_w6_14.add,False,False
stage:2:w15:padded_benes_16x16_s2_w11_15.drop->padded_benes_16x16_s3_w7_15.add:w15,interstage,padded_benes_16x16_s2_w11_15.drop,padded_benes_16x16_s3_w7_15.add,False,False
