topology,n_logical,n_physical,n_stages,n_mrr,stage_pitch_um,wire_pitch_um,estimated_layout_width_um,estimated_layout_height_um,estimated_layout_area_um2,grid_pitch_um,grid_margin_tracks,grid_margin_um,route_window_max_detour_tracks,effective_route_window_slack_um,local_repair_max_shift_tracks,max_astar_pops,ripup_max_astar_pops,max_ripup_passes,early_stop_enabled,early_stop_stagnant_passes,loss_aware_cost,prop_loss_db_per_um,bend_loss_db_per_bend,crossing_loss_db_per_cross,repeated_crossing_loss_db,port_escape_um,mrr_keepout_um,min_spacing_um,x_start_um,x_end_margin_um
padded_benes_4x4,4,4,3,6,105.000,36.000,238.000,130.000,30940.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
padded_benes_8x8,5,8,5,20,105.000,36.000,448.000,274.000,122752.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
spanke_benes_4x4,4,4,5,6,105.000,36.000,448.000,130.000,58240.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
spanke_benes_5x5,5,5,7,10,105.000,36.000,658.000,166.000,109228.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
waksman_4x4,4,4,3,5,105.000,36.000,238.000,130.000,30940.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
waksman_5x5,5,5,5,8,105.000,36.000,448.000,166.000,74368.000,8.000,12.000,96.000,12,101.000,16,20000,10000,3,True,2,True,0.002000,0.005000,0.100000,0.800000,10.000,6.000,4.000,20.000,70.000
