rule,edge_ids,message,x_um,y_um
perpendicular_clearance,input:w2->waksman_8x8_s0_w2_3.in;input:w5->waksman_8x8_s0_w4_5.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),450.0,197.5
perpendicular_clearance,input:w6->waksman_8x8_s0_w6_7.in;input:w7->waksman_8x8_s0_w6_7.add,perpendicular waveguides approach closer than 4.000 um centerline-equivalent edge clearance without a true crossing (2.000 um),56.0,37.5
