candidate_id,A,B,C,D,E,F,proxy_global_opt_assignment_db,is_dp,is_random,is_greedy,is_baseline
e_695b5f4fafd4,23.330000000000005,3.6920000000000006,2176.0,14.222,6.128845238095239,4.034329063508231,4.034329063508231,True,False,False,True
e_b1ab39d6d92b,23.418000000000003,3.736,2176.0,14.31,6.185940476190477,4.078329063508231,4.078329063508231,True,False,False,False
e_f1edb31e1012,23.418000000000003,3.6920000000000006,2176.0,14.288,6.1391904761904765,4.034329063508231,4.034329063508231,False,False,False,False
e_79076cd60890,23.506,3.736,2176.0,14.376000000000001,6.196285714285715,4.078329063508231,4.078329063508231,False,False,False,False
e_88f1d4a39899,23.458000000000002,3.4800000000000004,2176.0,14.734,5.983892857142858,4.034329063508231,4.034329063508231,True,False,False,False
e_9466be4e65ed,23.546,3.524,2176.0,14.822,6.040988095238095,4.077077933089608,4.077077933089608,True,False,False,False
e_d0112ac00b04,23.502,3.4800000000000004,2176.0,14.712,5.9821904761904765,4.034329063508231,4.034329063508231,True,False,False,False
e_e22bbcb4ee62,23.59,3.524,2176.0,14.8,6.039285714285715,4.077077933089608,4.077077933089608,True,False,False,False
e_5b933eb84470,25.934,4.416,2176.0,14.756,6.981595238095238,5.10232906350823,5.10232906350823,True,True,False,False
e_95f1526b6c0a,25.978,4.46,2176.0,14.712,7.021142857142857,5.1463290635082295,5.1463290635082295,True,False,False,False
e_15e8224b37b5,26.022000000000002,4.416,2176.0,14.822,6.991940476190477,5.10232906350823,5.10232906350823,False,False,False,False
e_1632410a1131,26.066000000000006,4.46,2176.0,14.778,7.031488095238095,5.1463290635082295,5.1463290635082295,False,False,False,False
e_b178a79dc258,25.85,4.3759999999999994,2176.0,14.332,6.8865952380952375,5.082329063508229,5.082329063508229,True,False,False,False
e_277af5fdea25,25.894000000000002,4.3759999999999994,2176.0,14.288,6.882142857142856,5.12632906350823,5.12632906350823,True,False,False,False
e_20f265b5788f,25.894,4.42,2176.0,14.31,6.928892857142857,5.082329063508229,5.082329063508229,True,False,False,False
