candidate_id,method,dp_objective,embedding_decisions,proxy_score,route_success,routing_runtime,total_length_um,physical_crossings,bend_count,wrap_count,global_wil_bfs_db,global_wil_opt_assignment_db,median_wil_db,p90_wil_db,p99_wil_db,worst_permutation,worst_input,baseline_worst_set_improved_count,unique_worst_set_improved_count
e_695b5f4fafd4,baseline,F,"{""root"": ""normal"", ""root.L"": ""normal"", ""root.L.L"": ""normal"", ""root.L.U"": ""normal"", ""root.U"": ""normal"", ""root.U.L"": ""normal"", ""root.U.U"": ""normal""}",4.034329063508231,True,901.7634975078981,14422.16363078271,54,129,28,5.181320181939005,5.181320181939005,4.684405345376791,5.077612218671056,5.181320181939005,"[0, 1, 2, 7, 4, 3, 5, 6]",5,0,0
e_2dc7ec51ea33,DP,A,"{""root"": ""normal"", ""root.L"": ""normal"", ""root.L.L"": ""normal"", ""root.L.U"": ""normal"", ""root.U"": ""swap_children"", ""root.U.L"": ""normal"", ""root.U.U"": ""normal""}",4.03432906350823,False,1702.0802283030935,13074.557428756429,56,140,28,,,,,,,,,
e_1a30e83a0382,DP,B,"{""root"": ""normal"", ""root.L"": ""swap_children"", ""root.L.L"": ""normal"", ""root.L.U"": ""normal"", ""root.U"": ""swap_children"", ""root.U.L"": ""normal"", ""root.U.U"": ""normal""}",4.033077933089609,True,298.5151443448849,14163.871594050659,52,131,28,4.699529235180638,4.699529235180638,4.4103910030117435,4.582653124984484,4.699529235180638,"[0, 2, 3, 7, 4, 1, 5, 6]",5,968,256
e_86a531d2390c,DP,D,"{""root"": ""mirror_y"", ""root.L"": ""mirror_y"", ""root.L.L"": ""normal"", ""root.L.U"": ""normal"", ""root.U"": ""swap_children"", ""root.U.L"": ""mirror_y"", ""root.U.U"": ""normal""}",6.575077933089607,False,2400.000084175961,,,,28,,,,,,,,,
