permutation,num_realizations,bfs_state_id,bfs_state_bits,bfs_cross_count,bfs_wil_db,bfs_total_il_db,bfs_worst_input,bfs_worst_output,bfs_worst_path_id,opt_state_id,opt_state_bits,opt_cross_count,opt_wil_db,opt_total_il_db,opt_worst_input,opt_worst_output,opt_worst_path_id,delta_wil_db,relative_improvement_percent,num_optimal_states,num_exact_optimal_states,assignment_wil_range_db
"[0, 1, 2, 4, 6, 5, 7, 3]",4,37178,01011100100010010,7,4.895612218671056,30.847664441253933,2,2,56,61819,11011110100011110,11,4.46815086414724,31.429655397904952,7,3,175,0.4274613545238166,8.73151988822868,1,1,0.4274613545238166
"[0, 1, 2, 4, 6, 7, 3, 5]",8,74984,00010111001001001,7,4.787364439063363,30.847664441253936,1,1,30,61939,11001111100011110,11,4.439446251690219,31.429655397904956,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 6, 7, 5, 3]",8,74976,00000111001001001,6,4.787364439063363,30.70216670209118,1,1,30,61947,11011111100011110,12,4.46815086414724,31.57515313706771,7,3,175,0.3192135749161231,6.6678352772026805,1,1,0.4274613545238166
"[0, 1, 2, 4, 7, 3, 5, 6]",4,37278,01111001100010010,8,4.895612218671056,30.99316218041669,2,2,56,61919,11111011100011110,12,4.439446251690219,31.57515313706771,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 4, 7, 3, 6, 5]",4,37270,01101001100010010,7,4.895612218671056,30.847664441253936,2,2,56,61911,11101011100011110,11,4.439446251690219,31.429655397904956,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 4, 7, 5, 3, 6]",4,74956,00110011001001001,7,4.787364439063363,30.847664441253933,1,1,30,91341,10110011001001101,9,4.605109957833811,31.138659919579446,6,3,152,0.18225448122955168,3.806989911660232,2,2,0.18225448122955168
"[0, 1, 2, 4, 7, 5, 6, 3]",4,74948,00100011001001001,6,4.787364439063363,30.70216670209118,1,1,30,91333,10100011001001101,8,4.708069051520382,30.99316218041669,7,3,163,0.07929538754298093,1.6563474235626585,2,2,0.07929538754298093
"[0, 1, 2, 4, 7, 6, 3, 5]",8,74988,00110111001001001,8,4.787364439063363,30.99316218041669,1,1,30,61943,11101111100011110,12,4.439446251690219,31.57515313706771,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 4, 7, 6, 5, 3]",8,74980,00100111001001001,7,4.787364439063363,30.847664441253933,1,1,30,61951,11111111100011110,13,4.46815086414724,31.720650876230465,7,3,175,0.3192135749161231,6.6678352772026805,1,1,0.4274613545238166
"[0, 1, 2, 5, 3, 4, 6, 7]",8,9284,00100010001001000,4,4.787364439063363,30.41117122376567,1,1,30,127315,11001010100011111,10,4.439446251690219,31.284157658742203,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 5, 3, 4, 7, 6]",8,9292,00110010001001000,5,4.787364439063363,30.556668962928427,1,1,30,127323,11011010100011111,11,4.439446251690219,31.429655397904956,0,0,20,0.3479181873731436,7.267426405523725,1,1,0.4561659669808371
"[0, 1, 2, 5, 3, 6, 4, 7]",4,9316,00100110001001000,5,4.787364439063363,30.556668962928427,1,1,30,25701,10100110001001100,7,4.586361088252434,30.847664441253933,4,3,103,0.2010033508109288,4.198622297705304,2,2,0.2010033508109288
"[0, 1, 2, 5, 3, 6, 7, 4]",4,9324,00110110001001000,6,4.787364439063363,30.70216670209118,1,1,30,25709,10110110001001100,8,4.586361088252434,30.99316218041669,4,3,103,0.2010033508109288,4.198622297705304,2,2,0.2010033508109288
"[0, 1, 2, 5, 3, 7, 4, 6]",4,102810,01011001100010011,8,4.895612218671056,30.99316218041669,2,2,56,127451,11011011100011111,12,4.439446251690219,31.57515313706771,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
"[0, 1, 2, 5, 3, 7, 6, 4]",4,102802,01001001100010011,7,4.895612218671056,30.847664441253933,2,2,56,127443,11001011100011111,11,4.439446251690219,31.429655397904956,0,0,20,0.4561659669808371,9.317853347148198,1,1,0.4561659669808371
