config,template_failed_edges,astar_failed_edges,template_drc,astar_drc,template_crossings,astar_crossings,template_dominates_or_ties,astar_max_pops_rung,astar_wall_s
B_db_placeholder,0,0,0,0,60,68,True,30000,87.94361745100468
C_db_realistic,0,0,0,0,60,62,True,30000,75.01515986095183
